{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' No': -0.67120457, ' Yes': -0.95194906, 'No': -3.343251, '\n': -3.3496864, 'Yes': -4.135358}
{' Yes': -0.163087, ' No': -2.533761, 'Yes': -3.4115267, '\n': -4.131896, ' A': -4.8375673}
{' Yes': -0.12980722, ' Bears': -2.962693, ' No': -3.6675973, 'Yes': -4.0372033, '\n': -4.1538873}
{' Yes': -0.21971843, ' No': -2.143558, ' Bears': -3.4969113, 'Yes': -3.9075656, '\n': -4.1001825}
{' Yes': -0.06029973, '\n': -4.153327, ' ': -4.537095, 'Yes': -4.5555964, ' A': -5.008946}
{' Yes': -0.037388872, 'Yes': -4.485736, '\n': -4.7508535, ' ': -5.134015, ' A': -5.3627844}
{' Yes': -0.13184492, ' Bears': -3.4801915, '\n': -3.7039309, ' No': -4.189042, ' ': -4.3578234}
{' Yes': -0.09454257, ' Bears': -3.5924597, ' No': -4.194764, '\n': -4.196128, 'Yes': -4.248973}
{' Yes': -0.040090464, ' Generally': -3.8101728, ' No': -4.6446757, 'Yes': -5.9134226, ' A': -6.3595686}
{' Yes': -0.08505156, ' Generally': -3.1954353, ' No': -3.9962697, ' A': -4.951253, ' It': -5.090537}
{' Yes': -0.12547204, ' Generally': -2.7931814, ' No': -3.4329326, ' Ducks': -4.5270205, ' On': -5.721492}
{' Yes': -0.20232911, ' Generally': -2.526752, ' No': -2.7578769, ' Ducks': -3.839862, 'Yes': -5.6431384}
{' Yes': -0.4942122, ' Generally': -1.7547388, ' No': -2.6518106, ' It': -2.7962713, ' Ducks': -3.809575}
{' Yes': -0.274347, ' Generally': -2.3518462, ' No': -2.7199607, ' It': -3.3874106, 'Yes': -4.3167605}
{' Yes': -0.10741901, ' Generally': -2.9797504, ' Ducks': -4.3243527, 'Yes': -4.417784, ' No': -4.4678965}
{' Yes': -0.49701464, ' Generally': -1.7470546, ' No': -2.1624734, ' Ducks': -3.3917785, 'No': -4.2869067}
{' Yes': -0.096419565, ' No': -3.689334, ' Generally': -3.981601, 'Yes': -4.170415, '\n': -4.6071596}
{' Yes': -0.08385772, ' No': -3.3925982, 'Yes': -3.9808702, ' Generally': -4.58455, ' It': -5.359929}
{' Yes': -0.05903845, 'Yes': -4.120909, ' No': -4.22266, ' Generally': -5.0326924, '\n': -5.05217}
{' Yes': -0.2607407, ' No': -2.0783465, ' Generally': -3.7214587, ' Ducks': -3.9531748, '\n': -4.0057836}
{' Yes': -0.12213113, ' Generally': -2.9605691, ' No': -3.317775, ' A': -4.737203, 'Yes': -5.2570014}
{' Yes': -0.14665659, ' Generally': -2.952313, ' No': -2.9697807, ' A': -4.75759, 'Yes': -4.844092}
{' Yes': -0.04662672, ' Generally': -3.7961762, ' Ducks': -4.8994956, ' No': -5.027595, 'Yes': -5.238855}
{' Yes': -0.4141767, ' No': -1.7218721, ' Generally': -2.3314261, ' Ducks': -3.6392398, 'No': -4.412029}
{' No': -0.78142977, ' Yes': -1.4476897, 'No': -2.7426019, ' Generally': -2.8345838, ' It': -3.0145783}
{' No': -0.54451734, ' Yes': -1.4612939, 'No': -2.594076, ' Generally': -3.5831962, '\n': -3.6022813}
{' Yes': -0.11984513, ' No': -3.279898, 'Yes': -3.6072583, ' Generally': -4.3190656, '\n': -4.801122}
{' Yes': -0.24401715, ' No': -2.3946464, ' Generally': -3.502375, ' Ducks': -3.806412, 'Yes': -4.0072446}
{' Yes': -0.124583796, ' Generally': -2.7930005, ' No': -4.105624, 'Yes': -4.529033, ' Ducks': -4.8633246}
{' Yes': -0.1171735, ' Generally': -3.1239007, ' No': -3.62325, 'Yes': -4.2876062, ' A': -4.730788}
{' Yes': -0.11151839, ' Generally': -2.9985592, 'Yes': -3.9209037, ' Ducks': -4.5129027, ' No': -4.5622683}
{' Yes': -0.14247291, ' Generally': -2.7428203, ' No': -3.8695312, ' Ducks': -4.147586, 'Yes': -4.278396}
{' Yes': -0.004777057, 'Yes': -5.9685197, ' No': -6.594258, ' yes': -7.6172414, '\n': -8.797324}
{' Yes': -0.027296878, ' No': -3.789065, 'Yes': -5.862218, '\n': -8.005382, ' yes': -8.148567}
{' Yes': -0.0035086025, 'Yes': -6.1274095, ' No': -7.7544346, '\n': -7.785376, ' yes': -8.560102}
{' Yes': -0.2862646, ' No': -1.4152757, 'Yes': -6.203226, 'No': -6.4292927, '\n': -6.9532967}
{' Yes': -0.4156271, ' No': -1.640387, '\n': -3.2414174, ' It': -3.7137113, 'No': -3.8685958}
{' Yes': -0.7733113, ' No': -0.98459595, '\n': -3.222553, 'No': -3.2956922, ' It': -3.7061384}
{' Yes': -0.03937067, 'Yes': -4.349353, ' No': -4.614377, ' Generally': -5.4420424, '\n': -5.5005918}
{' Yes': -0.08228116, ' No': -3.1556225, 'Yes': -4.3168373, ' Generally': -4.9608912, '\n': -5.3837624}
{' Yes': -0.3533122, '\n': -1.7374332, ' No': -2.7581792, 'Yes': -3.8261669, ' ': -3.9012077}
{' Yes': -0.58745533, ' No': -1.6473366, '\n': -1.7068552, 'Yes': -3.9128773, ' ': -3.9277854}
{' Yes': -0.269277, '\n': -1.6895423, 'Yes': -3.6001294, ' ': -4.1491656, ' No': -5.88623}
{' Yes': -0.3782776, '\n': -1.5499123, ' No': -2.9377084, 'Yes': -3.8604226, ' ': -4.5704846}
{' Yes': -0.1070597, ' No': -2.4123595, 'Yes': -5.365322, 'No': -6.358988, ' It': -6.5313125}
{' Yes': -0.44688115, ' No': -1.1236277, ' It': -4.1182427, 'No': -4.957093, 'Yes': -5.4849534}
{' Yes': -0.010618678, ' No': -5.145102, 'Yes': -5.7508655, '\n': -7.875822, ' ': -8.080076}
{' Yes': -0.101720706, ' No': -2.4199464, 'Yes': -5.5065246, 'No': -6.5931354, ' Generally': -7.288961}
{' No': -0.6439611, ' Yes': -1.7265321, 'No': -1.9099636, '\n': -2.4834158, ' A': -3.8628838}
{' No': -0.5633345, 'No': -1.8339663, ' Yes': -2.069295, '\n': -2.4249926, ' A': -3.9312484}
{' Yes': -0.77642924, ' No': -1.6557474, '\n': -1.8702708, 'No': -2.8903894, 'Yes': -3.011962}
{' Yes': -0.8707309, ' No': -1.1425052, '\n': -2.232963, 'No': -2.5953937, 'Yes': -3.3648121}
{' Yes': -0.14069422, ' No': -2.8840222, ' A': -3.9389155, ' Generally': -4.261744, ' It': -4.602699}
{' Yes': -0.2839488, ' No': -1.8350276, ' A': -3.8715453, ' It': -4.3092017, ' Generally': -4.440769}
{' Yes': -0.11444583, ' No': -3.2388926, 'Yes': -4.186597, ' Ducks': -4.3579316, ' Generally': -4.5315104}
{' Yes': -0.15900029, ' No': -2.347992, 'Yes': -4.4435134, ' Ducks': -4.6620917, ' Generally': -4.93374}
{' Yes': -0.114728905, ' No': -2.9043694, 'Yes': -4.055441, ' Generally': -4.515188, ' A': -5.0133038}
{' Yes': -0.41923395, ' No': -1.8320891, ' Generally': -3.154391, ' A': -3.3290946, ' It': -3.5484948}
{' Yes': -0.22779953, ' Generally': -2.8330812, ' No': -2.869563, 'Yes': -3.6950188, ' Ducks': -3.7310915}
{' Yes': -0.4581448, ' No': -1.7434862, ' Generally': -2.7242105, 'No': -3.3964858, 'Yes': -3.7851593}
{' No': -0.29298446, 'No': -1.4887643, ' Yes': -3.7688487, 'Yes': -6.5493946, ' It': -6.8026257}
{' No': -0.3009975, 'No': -1.4399725, ' Yes': -4.174153, ' It': -6.0721207, ' Generally': -6.2017484}
{' Yes': -0.21571201, ' No': -2.2439368, 'No': -3.388914, 'Yes': -3.4304848, ' Generally': -4.280524}
{' Yes': -0.64177805, ' No': -1.2120924, 'No': -2.5131102, ' Generally': -3.1259716, 'Yes': -3.8575716}
{' Yes': -0.23909333, ' No': -2.0104308, 'Yes': -3.2431483, 'No': -3.4185426, ' It': -6.31145}
{' No': -0.70395124, ' Yes': -1.1248956, 'No': -1.9309524, 'Yes': -3.711201, ' It': -5.876513}
{' Yes': -0.15956715, 'Yes': -2.6372683, ' No': -3.0645964, 'No': -3.8960552, ' Generally': -5.8813667}
{' Yes': -0.6043051, ' No': -1.3007638, 'No': -2.174694, 'Yes': -3.115526, ' Generally': -4.928289}
{' No': -0.121900015, ' Yes': -2.7521641, 'No': -3.0484135, 'Yes': -6.6984663, ' ': -7.494478}
{' No': -0.23707223, ' Yes': -1.8515073, 'No': -3.059006, 'Yes': -5.660298, ' Generally': -6.4612823}
{' No': -0.45528698, ' Yes': -1.2303553, 'No': -2.916257, ' Generally': -4.6126604, 'Yes': -5.288974}
{' No': -0.6454965, ' Yes': -0.915907, 'No': -3.0301476, ' Generally': -4.238926, 'Yes': -4.879158}
{' No': -0.75275135, 'No': -0.9045953, ' Ducks': -3.0405512, ' Yes': -3.7299163, ' Generally': -4.147225}
{'No': -0.73338985, ' No': -0.7831221, ' Ducks': -3.9950778, ' Yes': -4.7017317, '\n': -4.7276564}
{' Yes': -0.52865005, 'Yes': -2.1729276, 'No': -2.3248117, ' No': -2.4178944, ' Ducks': -3.1077228}
{' Yes': -0.96018684, ' No': -1.8513231, 'No': -1.940175, ' Ducks': -2.309863, ' Generally': -2.3448322}
{' No': -0.3450726, 'No': -1.6537408, ' Yes': -3.2460198, ' Duck': -3.5081356, ' Ducks': -4.6019807}
{' No': -0.552219, 'No': -1.5051284, ' Yes': -1.8997931, '\n': -4.0000796, 'Yes': -4.478408}
{' Yes': -0.5985033, ' No': -1.6143, 'No': -1.9937861, 'Yes': -3.1009505, ' Ducks': -3.2130985}
{' No': -0.7956735, 'No': -1.3527833, ' Yes': -2.071585, ' Generally': -2.5937138, ' Ducks': -2.8031025}
{' Yes': -0.047471765, ' yes': -3.1553648, 'Yes': -5.9487853, ' ': -7.5634036, '\n': -8.354577}
{' Yes': -0.018677875, ' yes': -4.295558, 'Yes': -5.937009, ' No': -7.043952, ' ': -7.2315645}
{' Yes': -0.0075504603, ' yes': -5.199403, 'Yes': -6.657954, ' No': -8.178384, ' ': -8.672549}
{' Yes': -0.0054952228, ' No': -6.2040854, ' yes': -6.471869, 'Yes': -6.55797, '\n': -8.44599}
{' Yes': -0.30105406, ' No': -1.6849977, ' It': -4.0923443, 'No': -4.0991383, 'Yes': -4.368124}
{' Yes': -0.1235162, ' No': -2.8115807, 'Yes': -4.2305183, '\n': -4.4755363, ' It': -4.5373554}
{' Yes': -0.033504274, 'Yes': -4.147926, ' yes': -5.155731, ' No': -5.2291636, '\n': -5.9097853}
{' Yes': -0.066452816, ' No': -3.4900613, 'Yes': -4.0376687, '\n': -5.2842946, 'No': -5.6595144}
{' Yes': -0.21821104, '\n': -2.2742107, ' No': -3.3993115, 'Yes': -3.4709098, ' yes': -4.7452054}
{' Yes': -0.78766733, ' No': -1.2495298, '\n': -1.701438, 'No': -3.3488016, 'Yes': -3.9663856}
{' Yes': -0.16587906, '\n': -2.441737, 'Yes': -3.2845752, ' No': -4.8963265, ' yes': -4.966664}
{' Yes': -0.20676565, '\n': -2.367309, ' No': -3.349567, 'Yes': -3.3792584, 'No': -4.9500575}
{' Yes': -0.031933885, ' No': -4.15248, 'Yes': -5.503381, ' Generally': -5.72653, ' yes': -5.974789}
{' Yes': -0.0776222, ' No': -3.0376728, ' It': -4.765961, 'Yes': -5.1722684, ' Generally': -5.4500813}
{' Yes': -0.03111394, ' No': -4.10048, ' Generally': -5.2974505, 'Yes': -5.409436, ' yes': -6.3106775}
{' Yes': -0.016474718, ' No': -4.764317, 'Yes': -5.472314, ' Generally': -6.209563, ' yes': -7.6180673}
{' No': -0.6419745, 'No': -1.5286055, '\n': -2.1485853, ' Yes': -2.349494, 'Yes': -4.3517313}
{' No': -0.71191037, 'No': -1.456423, '\n': -1.7595618, ' Yes': -2.650097, ' ': -4.488803}
{' Yes': -0.6485816, '\n': -1.7455246, ' No': -1.9243823, 'Yes': -2.9075232, 'No': -2.9528112}
{' No': -1.1166488, ' Yes': -1.2327338, '\n': -1.5611469, 'No': -2.1974633, 'Yes': -3.6000252}
{' Yes': -0.2009054, ' yes': -2.0043607, ' It': -4.3550234, 'Yes': -4.5318036, '\n': -4.952083}
{' Yes': -0.123571366, ' yes': -2.9122827, '\n': -4.176552, ' It': -4.327898, ' No': -4.441231}
{' Yes': -0.20543827, ' yes': -2.4335208, ' No': -3.4276764, 'Yes': -3.9518921, '\n': -4.031352}
{' Yes': -0.19827555, ' No': -2.3494234, ' yes': -3.4969203, 'Yes': -4.4838467, '\n': -4.617543}
{' Yes': -0.006572263, 'Yes': -5.8679113, ' No': -6.6488795, '\n': -6.7936854, ' yes': -7.3003535}
{' Yes': -0.0147841545, ' No': -4.8981156, '\n': -5.9489064, 'Yes': -6.001091, ' ': -7.118393}
{' Yes': -0.011778635, ' No': -5.4876943, '\n': -5.587298, 'Yes': -6.136479, ' ': -7.107779}
{' Yes': -0.3323341, ' No': -1.3580128, '\n': -4.264722, ' Generally': -5.4115367, ' ': -6.234451}
{' Yes': -0.62307715, ' No': -1.587402, '\n': -1.7521818, ' ': -3.7735286, 'No': -4.0396876}
{' Yes': -0.36848944, '\n': -1.5633975, ' No': -3.154069, ' ': -3.9752302, 'Yes': -4.0799284}
{' Yes': -0.17937554, '\n': -2.2077875, ' No': -4.155196, 'Yes': -4.302403, ' ': -4.578934}
{' Yes': -0.4176562, '\n': -1.5655884, ' No': -2.4695475, ' Generally': -4.442099, ' ': -4.476147}
{' Yes': -0.6474274, ' No': -1.3822639, '\n': -1.9472874, ' A': -3.7375455, ' ': -3.824992}
{' Yes': -1.0249307, '\n': -1.1171758, ' No': -1.4916952, ' ': -3.5308187, ' A': -3.8945844}
{' Yes': -0.10425373, '\n': -2.9072342, ' Ducks': -4.4564, 'Yes': -4.4968853, ' No': -4.5546074}
{' Yes': -0.274278, '\n': -1.9776682, ' No': -2.8754053, ' Ducks': -4.2836103, ' ': -4.483272}
{' Yes': -0.34616965, ' No': -1.4970676, '\n': -3.4397764, ' ': -4.2555575, ' A': -4.419423}
{' Yes': -0.43092158, ' No': -1.234745, '\n': -3.6428432, ' ': -4.5134544, ' A': -4.6503143}
{' Yes': -0.11704383, '\n': -3.01366, ' No': -3.274816, ' ': -4.547828, 'Yes': -5.4613414}
{' Yes': -0.1389567, ' No': -2.7658505, '\n': -3.038424, ' ': -5.0366406, 'Yes': -5.4613404}
{' No': -0.2706635, ' Yes': -1.9915097, 'No': -3.0902264, '\n': -3.7052834, ' A': -4.3493667}
{' No': -0.44090337, ' Yes': -1.4942653, 'No': -2.8788838, '\n': -3.533024, ' A': -3.76429}
{' Yes': -0.28885394, ' No': -1.9539256, '\n': -3.0266106, 'Yes': -3.9724932, ' ': -4.220706}
{' Yes': -0.4260325, ' No': -1.6211047, '\n': -2.5067897, ' Ducks': -4.0877924, ' ': -4.1424727}
{' Yes': -0.2462368, ' No': -2.4194717, '\n': -2.9935513, ' ': -3.6432114, ' A': -3.9697647}
{' Yes': -0.3454327, ' No': -1.9368882, '\n': -2.6587222, ' ': -3.623524, ' A': -3.952778}
{' Yes': -0.2026152, ' No': -2.323455, '\n': -3.9249604, ' Ducks': -4.1230783, ' ': -4.328229}
{' Yes': -0.80150974, ' No': -0.83362186, '\n': -3.5200996, ' Ducks': -3.7390478, 'No': -3.9070277}
{' No': -0.07597472, ' Generally': -3.6838238, 'No': -4.0714273, ' It': -4.2953196, ' Ducks': -5.2485056}
{' No': -0.49312246, ' It': -1.996359, ' Generally': -2.1810231, ' Yes': -3.5234625, ' Ducks': -3.6467726}
{' No': -0.4173378, ' Generally': -1.8687234, ' Ducks': -2.439753, ' It': -3.5007937, 'No': -4.1235585}
{' No': -0.6423572, ' Generally': -1.5376322, ' Ducks': -2.0823328, ' Yes': -3.2285864, ' It': -3.7236083}
{' No': -0.18772097, 'No': -2.5670733, ' Generally': -3.3700063, ' It': -3.5473628, ' Ducks': -4.453836}
{' No': -0.18496564, 'No': -2.4995408, ' Generally': -3.3103719, ' It': -3.5423646, ' That': -5.2481637}
{' No': -0.43206874, ' Generally': -2.2343283, 'No': -2.4435337, ' Ducks': -2.6403472, ' It': -3.2358463}
{' Generally': -1.153746, ' No': -1.2079433, ' It': -2.0672114, ' Ducks': -2.6675324, 'No': -3.2416902}
{' No': -0.1541228, 'No': -2.2030194, '\n': -4.5702453, ' It': -5.1621485, ' Ducks': -5.366344}
{' No': -0.12973703, 'No': -2.2874231, '\n': -5.036344, ' It': -5.538962, ' Generally': -5.5422316}
{' No': -0.39939305, 'No': -2.2951393, ' Ducks': -2.3686523, ' It': -3.172903, ' Generally': -3.358055}
{' No': -0.5187097, ' Ducks': -2.3349595, ' Generally': -2.6943326, ' It': -2.753184, 'No': -2.8911135}
{' No': -0.0762076, 'No': -3.0493026, ' Generally': -4.8066745, ' Ducks': -5.0005507, ' It': -5.1679873}
{' No': -0.10828626, 'No': -2.897089, ' Generally': -4.037388, ' It': -4.288231, ' A': -5.2080727}
{' No': -0.14953, 'No': -3.0564778, ' Ducks': -3.0948117, ' Generally': -3.4576428, ' It': -5.2256956}
{' No': -0.34400773, ' Generally': -2.3364737, ' Ducks': -2.4320128, 'No': -3.122492, ' It': -3.6445866}
{' No': -0.24852997, 'No': -1.851605, '\n': -4.290522, ' It': -4.4678826, ' Ducks': -4.4765916}
{' No': -0.1748813, 'No': -2.155287, '\n': -4.424849, ' Generally': -4.4901605, ' It': -5.0922585}
{' No': -0.3783275, 'No': -2.2895977, ' Ducks': -3.0257194, ' It': -3.082656, ' Generally': -3.2582197}
{' No': -0.39982444, 'No': -2.444113, ' Generally': -2.735245, ' It': -2.7968924, ' Ducks': -3.5442758}
{' No': -0.2057743, 'No': -2.6371062, ' Generally': -2.987402, ' Ducks': -3.4425428, ' It': -5.270065}
{' No': -0.18683238, 'No': -2.3438034, ' Generally': -3.2712286, ' Ducks': -4.4756045, ' It': -5.240688}
{' No': -0.42806524, ' Generally': -2.127202, 'No': -2.2733622, ' Ducks': -2.8260715, ' It': -4.1381845}
{' No': -0.69762754, ' Generally': -1.4348539, ' Ducks': -2.7603602, 'No': -2.8849273, ' It': -3.293363}
{' No': -0.011369264, 'No': -4.615951, ' ': -7.7460394, '\n': -7.8108306, ' A': -8.17253}
{' No': -0.014352517, 'No': -4.6572814, ' It': -5.718218, '\n': -7.941421, ' ': -8.009288}
{' No': -0.23006448, ' Yes': -1.9939461, ' Ducks': -3.3426588, 'No': -4.5852985, ' Generally': -4.7112827}
{' No': -0.05928261, ' Yes': -4.0668583, 'No': -4.2872677, ' Ducks': -4.78726, ' It': -5.1967926}
{' No': -0.15628222, 'No': -2.2881238, '\n': -3.8490121, ' ': -5.0423217, ' It': -5.1877456}
{' No': -0.14040144, 'No': -2.325811, '\n': -4.300718, ' Generally': -5.1767116, ' It': -5.178914}
{' No': -0.12753814, 'No': -2.6563659, ' Ducks': -4.419082, ' Generally': -4.4580703, '\n': -4.5117145}
{' No': -0.31406283, 'No': -2.5660026, ' Generally': -2.7670372, ' Ducks': -3.2994888, ' Yes': -3.5565727}
{' No': -0.48800045, '\n': -1.3425537, 'No': -2.2960296, ' ': -4.0874743, ' A': -5.8304725}
{' No': -0.28743306, '\n': -1.930322, 'No': -2.4061348, ' ': -4.656183, ' A': -6.244649}
{' No': -0.67547673, '\n': -1.0891902, 'No': -2.7900455, ' Ducks': -3.0170903, ' ': -3.869311}
{' No': -0.7909071, '\n': -1.0067084, 'No': -2.729662, ' Yes': -3.33696, ' Ducks': -3.3458292}
{' No': -0.02719006, 'No': -3.7537847, ' It': -6.5351453, ' ': -6.9214063, '\n': -7.913077}
{' No': -0.053704116, 'No': -3.4408462, ' It': -4.0629296, ' ': -7.153821, ' That': -7.3972363}
{' No': -0.040702768, 'No': -3.7803838, ' Ducks': -5.0732937, ' It': -5.418129, ' Generally': -5.992445}
{' No': -0.048302036, 'No': -3.3643286, ' It': -5.6211376, ' Generally': -5.750189, ' Ducks': -6.310667}
{' No': -0.29867685, 'No': -1.6482728, '\n': -3.0131886, ' ': -4.442868, ' A': -6.086692}
{' No': -0.31704968, 'No': -1.5620239, '\n': -3.0950587, ' ': -4.6713433, ' A': -5.390676}
{' No': -0.40178213, 'No': -1.5099479, '\n': -2.7803583, ' ': -4.1297903, ' Ducks': -4.1647797}
{' No': -0.48736337, 'No': -1.5525413, '\n': -2.5119643, ' Ducks': -3.333276, ' ': -4.1307697}
{' No': -0.11149833, 'No': -2.7754025, ' It': -4.4796395, ' ': -4.9620137, ' A': -5.0895314}
{' No': -0.11860812, 'No': -2.6027923, ' It': -4.5418296, ' A': -5.0194545, ' Generally': -5.199968}
{' No': -0.17008224, 'No': -2.4149, ' Ducks': -4.1780148, ' It': -4.3359413, ' ': -4.4052124}
{' No': -0.39175296, ' It': -2.5230205, 'No': -2.8920066, ' Ducks': -2.9142807, ' Generally': -2.963221}
{' No': -0.15388112, 'No': -2.366434, ' Ducks': -4.4569893, ' Generally': -4.578392, ' A': -4.853836}
{' No': -0.1921253, 'No': -2.1564367, ' Generally': -4.249756, ' It': -4.4485826, ' A': -4.5029206}
{' No': -0.3542203, 'No': -2.1541812, ' Generally': -3.06624, ' Ducks': -3.1306694, ' It': -3.446389}
{' No': -0.61816007, ' Generally': -2.3500154, 'No': -2.3689287, ' It': -2.6550891, ' Ducks': -2.9496381}
{' No': -0.33649588, 'No': -1.2615389, ' It': -7.2003345, ' ': -7.874719, ' Ducks': -8.345654}
{' No': -0.3283314, 'No': -1.2832493, ' It': -6.679617, ' ': -8.011393, '\n': -8.296357}
{' No': -0.3029685, 'No': -1.6029334, ' It': -3.8650963, ' Generally': -4.030124, ' Ducks': -4.513641}
{' No': -0.7782583, ' It': -1.8590708, 'No': -1.9968175, ' Generally': -2.0004873, ' Yes': -3.40845}
{' No': -0.22676696, 'No': -1.6192764, '\n': -6.6288266, ' ': -7.1249857, ' Ducks': -7.1333275}
{' No': -0.23643906, 'No': -1.5759777, '\n': -6.4358177, ' ': -7.481203, ' It': -7.6352444}
{' No': -0.3823954, 'No': -1.262757, ' Ducks': -4.458828, ' It': -4.749354, ' Yes': -5.300701}
{' No': -0.49504343, 'No': -1.2115333, ' It': -3.4960485, ' Ducks': -4.015298, ' Yes': -4.4508767}
{' No': -0.037374765, 'No': -3.3399642, ' Ducks': -7.7895455, ' ': -7.9741793, ' Generally': -8.946055}
{' No': -0.063572824, 'No': -2.8025196, ' ': -7.9965844, ' Generally': -8.503312, ' A': -8.891277}
{' No': -0.086383924, 'No': -2.550331, ' Generally': -6.05855, ' Ducks': -6.9033103, ' It': -8.073812}
{' No': -0.13614394, 'No': -2.324649, ' Generally': -4.4097548, ' It': -5.1381235, ' Ducks': -5.733516}
{'No': -0.61588675, ' No': -0.88919073, ' Ducks': -3.8735542, ' It': -4.5654655, '\n': -5.4750614}
{'No': -0.66768456, ' No': -0.79740334, ' Ducks': -4.232532, '\n': -4.7809825, ' It': -5.4308987}
{' No': -0.71961904, 'No': -0.83433264, ' Ducks': -3.446969, ' Generally': -4.3524375, ' It': -4.508813}
{'No': -0.82325846, ' No': -0.86958796, ' Ducks': -3.408553, ' Generally': -3.4121292, ' It': -3.4968383}
{' No': -0.30724767, 'No': -1.4352688, ' Duck': -4.853825, '\n': -4.9271493, ' Ducks': -4.9870224}
{' No': -0.39268425, 'No': -1.1865551, '\n': -4.62395, ' Ducks': -5.911888, ' Duck': -6.035873}
{' No': -0.44852605, 'No': -1.0539719, ' Ducks': -4.8122993, ' Generally': -5.892484, '\n': -7.787153}
{' No': -0.5586476, 'No': -0.9542908, ' Ducks': -4.3451385, ' Generally': -4.3835316, ' It': -5.1017675}
{' No': -0.006442135, 'No': -5.8494287, ' no': -6.4940977, ' ': -6.574984, '\n': -7.7948823}
{' No': -0.007988471, 'No': -5.406252, ' ': -6.6368427, ' It': -6.9874287, '\n': -7.670778}
{' No': -0.010732121, ' Ducks': -5.411912, 'No': -5.455026, ' ': -7.498498, '\n': -7.7957144}
{' No': -0.024995347, 'No': -5.059964, ' Yes': -5.063995, ' Ducks': -5.4062076, ' It': -5.551587}
{' No': -0.14280954, 'No': -2.1833673, ' It': -4.924935, '\n': -5.132155, ' ': -5.7929716}
{' No': -0.14045562, 'No': -2.2548718, ' It': -4.4519024, '\n': -4.9655914, ' Generally': -6.0937586}
{' No': -0.18049404, 'No': -2.16246, ' It': -3.5923092, '\n': -4.9668555, ' Generally': -5.367891}
{' No': -0.38044754, 'No': -1.9975758, ' It': -2.2532637, ' Generally': -3.7640762, '\n': -3.966545}
{' No': -0.25329337, 'No': -1.9510014, '\n': -2.6760378, ' ': -5.0175943, ' It': -6.073114}
{' No': -0.24651033, 'No': -2.0646045, '\n': -2.5093791, ' ': -5.3274865, ' It': -6.3489504}
{' No': -0.36742702, 'No': -1.949649, '\n': -2.0974438, ' Ducks': -3.9698896, ' ': -4.790864}
{' No': -0.613665, '\n': -1.4939579, 'No': -2.132559, ' Ducks': -3.3224223, ' Yes': -3.4574244}
{' No': -0.03702511, 'No': -3.51708, ' It': -6.2885103, '\n': -6.5132513, ' ': -6.600543}
{' No': -0.07311509, 'No': -3.2865415, ' It': -3.7333114, ' That': -5.810927, '\n': -6.199372}
{' No': -0.058573313, 'No': -3.125849, ' It': -5.3446317, ' Generally': -5.8176765, '\n': -6.4467316}
{' No': -0.095904835, 'No': -2.9644198, ' It': -3.9927402, ' Generally': -4.5392623, ' Yes': -6.106582}
{' No': -0.43642285, 'No': -1.380427, '\n': -2.4829736, ' ': -4.565228, ' no': -5.656523}
{' No': -0.589305, 'No': -1.2466403, '\n': -1.9328089, ' ': -4.718396, ' no': -6.9091783}
{' No': -0.38969144, 'No': -1.4584913, '\n': -2.6738539, ' ': -4.6971636, ' no': -5.8336215}
{' No': -0.45226315, 'No': -1.3278908, '\n': -2.5275462, ' ': -5.0144663, ' Generally': -5.738868}
{' No': -0.20797463, 'No': -2.583106, ' It': -3.300079, ' no': -3.6917393, '\n': -4.158313}
{' No': -0.21645641, 'No': -2.7195635, ' It': -2.7841115, '\n': -3.6598237, ' ': -4.728526}
{' No': -0.321726, 'No': -2.164343, ' It': -2.7354488, '\n': -3.5199053, ' no': -4.117489}
{' No': -0.6293495, ' It': -1.5748433, 'No': -2.6102133, '\n': -2.9542437, ' Ducks': -3.4952075}
