{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.007914451, ' Yes': -5.086608, 'No': -6.457136, '\n': -9.386089, ' Nope': -10.601872}
{' Yes': -0.0025941574, 'Yes': -6.1000423, '\n': -8.9144, ' No': -9.715039, ' yes': -9.980516}
{' Yes': -0.011975626, ' No': -4.610084, 'Yes': -6.4607363, '\n': -8.569591, ' Space': -9.415734}
{' No': -0.0024916737, 'No': -6.031569, ' Yes': -9.714615, '\n': -10.758092, ' ': -13.193234}
{' No': -0.0027580906, 'No': -5.9147525, '\n': -10.606403, ' Yes': -10.652325, ' ': -12.880273}
{' Yes': -0.06341354, ' No': -3.5341892, 'Yes': -5.0625243, 'rupt': -5.0740514, ' E': -5.128328}
{' No': -0.48502293, ' Yes': -1.2954506, ' Nope': -3.8238833, 'rupt': -3.9052687, ' U': -4.435531}
{' No': -0.0018299423, 'No': -6.374932, ' Yes': -9.362523, '\n': -10.388536, ' Not': -12.727946}
{' No': -0.00285642, 'No': -5.9029284, ' Yes': -9.570598, '\n': -10.159602, ' Not': -12.169271}
{' Yes': -0.25649604, ' No': -1.494661, 'Yes': -6.631225, 'No': -7.9625945, ' Nope': -9.0397625}
{' Yes': -0.28909746, ' No': -1.439984, 'Yes': -5.4655595, ' Swamp': -5.5902677, ' Nope': -5.8951473}
{' No': -0.003860854, ' Yes': -5.87591, 'No': -6.891939, '\n': -10.694412, 'Yes': -12.493023}
{' No': -0.0053205322, 'No': -5.8049436, ' Yes': -6.138827, '\n': -9.658666, ' Nope': -10.282906}
{' Yes': -0.42224953, ' Armor': -1.4171703, ' No': -2.3602147, ' Armour': -5.921965, 'Yes': -6.5425415}
{' Yes': -0.6189433, ' No': -0.87046343, ' Armor': -3.2228954, 'No': -6.582635, 'Yes': -7.1365805}
{' No': -0.0035645312, 'No': -5.6621623, ' Yes': -10.019322, '\n': -10.30799, ' ': -13.143088}
{' No': -0.003397295, 'No': -5.699621, ' Yes': -10.64678, '\n': -10.969545, ' ': -13.500719}
{' No': -0.53761536, ' Yes': -0.8904558, 'No': -6.104861, 'Yes': -6.992398, ' Ex': -7.274419}
{' No': -0.12449792, ' Yes': -2.1754718, 'No': -6.3697863, ' Nope': -7.27992, '\n': -7.8773346}
{' No': -0.0056185145, 'No': -5.3640566, ' Yes': -7.029889, '\n': -10.569709, 'Yes': -12.476006}
{' No': -0.0025517275, 'No': -6.078941, ' Yes': -8.381707, '\n': -10.697164, ' Not': -13.163398}
{' Yes': -0.02306789, ' No': -3.9291272, 'Yes': -6.4777913, ' Still': -6.624462, ' yes': -9.603748}
{' Yes': -0.13166676, ' No': -2.2554383, ' Still': -4.100891, 'Yes': -6.5590444, 'No': -8.268663}
{' No': -0.0029268973, 'No': -5.921093, ' Yes': -8.614687, '\n': -9.991215, ' Not': -11.772415}
{' No': -0.0033012494, 'No': -5.7812476, ' Yes': -8.835541, '\n': -9.85563, ' Not': -11.968362}
{' Yes': -0.03949617, ' Hello': -3.3096282, 'Yes': -6.782797, ' No': -7.093116, '\n': -9.715258}
{' Yes': -0.0048477924, ' No': -6.004681, ' Hello': -6.4538655, 'Yes': -7.240117, '\n': -10.621266}
{' No': -0.0043693474, 'No': -5.4663196, ' Nope': -9.512559, '\n': -10.3560915, ' Yes': -10.8014345}
{' No': -0.002353234, 'No': -6.103953, ' Yes': -9.392798, '\n': -10.924729, ' Nope': -11.427541}
{' Yes': -0.011204154, ' No': -5.327364, 'Yes': -5.630537, ' Sure': -7.007181, ' Purs': -7.207443}
{' Yes': -0.3434579, ' No': -1.2653521, 'Yes': -5.895065, ' Nope': -6.120906, ' Purs': -6.686267}
{' No': -0.0027448237, 'No': -6.0074687, ' Yes': -8.517023, '\n': -9.613235, ' Not': -12.22514}
{' No': -0.002328619, 'No': -6.130462, ' Yes': -9.140166, '\n': -10.253087, ' ': -12.755784}
{' No': -0.12289648, ' Yes': -2.3633387, ' Actor': -4.446129, 'No': -4.9764805, ' Not': -6.9795146}
{' No': -0.26068, ' Yes': -1.513953, 'No': -5.5048738, ' Actor': -5.8183503, 'Yes': -7.0241027}
{' No': -0.0014972687, 'No': -6.5452156, '\n': -10.453966, ' Yes': -10.608873, ' ': -13.211038}
{' No': -0.003932598, 'No': -5.559356, '\n': -10.166888, ' Yes': -10.64632, ' ': -12.223816}
{' Yes': -0.003753515, 'Yes': -6.1987624, ' Smoke': -7.0245757, ' No': -7.4002857, ' YES': -9.658934}
{' Yes': -0.0700899, ' No': -2.8109975, ' Smoke': -5.9085374, 'Yes': -5.916373, ' Nope': -6.5228925}
{' No': -0.0023886643, 'No': -6.0527844, '\n': -10.859671, ' Yes': -11.463382, ' ': -13.031431}
{' No': -0.0028644283, 'No': -5.87342, '\n': -10.65297, ' Yes': -10.934016, ' ': -13.059431}
{' No': -0.040719096, ' Yes': -4.0772257, ' Nope': -4.5294366, 'No': -4.7908425, ' NO': -7.446708}
{' No': -0.021306314, ' Yes': -4.2206087, 'No': -5.3662443, ' Nope': -6.676778, '\n': -8.981576}
{' No': -0.0022381106, 'No': -6.1436734, ' Yes': -9.939632, '\n': -10.501183, ' Nope': -11.608215}
{' No': -0.003211309, 'No': -5.7829795, ' Yes': -9.565509, '\n': -9.94624, ' ': -12.601999}
{' No': -0.04138763, ' Yes': -3.410036, ' False': -5.15711, 'No': -6.9859486, ' Nope': -7.4104347}
{' No': -0.12896073, ' Yes': -2.122243, 'No': -7.193934, 'Yes': -8.788362, ' Nope': -9.0295515}
{' No': -0.003345563, 'No': -5.710264, ' Nope': -11.247613, '\n': -11.328112, ' Yes': -13.272685}
{' No': -0.0020370518, 'No': -6.2213078, '\n': -10.596265, ' Yes': -10.884162, ' ': -13.219236}
{' Yes': -0.06351541, ' No': -2.8698375, ' Watch': -6.029736, 'Yes': -6.4635015, '\n': -8.152791}
{' Yes': -0.19968, ' No': -1.7164799, 'Yes': -7.348362, 'No': -8.248129, ' Nope': -8.602048}
{' No': -0.0074177436, ' Yes': -5.1706233, 'No': -6.443189, '\n': -9.329214, 'Yes': -11.401621}
{' No': -0.0048199417, ' Yes': -5.5877414, 'No': -6.9184456, '\n': -9.67774, 'Yes': -12.193137}
{' Yes': -0.07380331, ' No': -2.7087977, 'Yes': -6.2000427, ' Spice': -6.4556556, ' Nope': -7.9777184}
{' Yes': -0.13883553, ' No': -2.068067, 'Yes': -6.1816177, ' Nope': -7.7548327, 'No': -8.337771}
{' No': -0.001095013, 'No': -6.9872494, ' Yes': -8.908619, '\n': -10.48535, ' Nope': -12.590599}
{' No': -0.0019848524, 'No': -6.521683, ' Yes': -7.8022146, '\n': -9.32466, ' ': -12.191997}
{' Yes': -0.00070079096, 'Yes': -7.5085325, ' No': -9.369063, ' yes': -10.664367, '\n': -11.018926}
{' Yes': -0.014282256, ' No': -4.383367, 'Yes': -7.110807, ' Under': -7.550175, '\n': -9.231855}
{' No': -0.010677415, ' Yes': -4.7083817, 'No': -6.525396, '\n': -9.233229, 'Yes': -10.946649}
{' No': -0.0037013448, ' Yes': -6.1072206, 'No': -6.5878954, '\n': -9.883773, ' Nope': -10.552228}
{' Yes': -0.004194134, ' No': -5.7720156, 'Yes': -7.250304, ' Crack': -8.310489, ' Cr': -10.112224}
{' Yes': -0.15772696, ' No': -1.9332949, 'Yes': -7.183462, ' Crack': -8.698612, 'No': -8.770018}
{' No': -0.0017647361, 'No': -6.4019217, ' Yes': -9.50836, '\n': -10.54999, ' ': -13.34353}
{' No': -0.0016548748, 'No': -6.498368, ' Yes': -9.557942, '\n': -9.58088, ' ': -12.536165}
{' Yes': -0.037751224, ' No': -4.1318884, ' Ar': -4.588237, ' Arg': -5.7027454, 'Yes': -5.7157164}
{' Yes': -0.25903496, ' No': -2.068405, ' Ar': -2.799009, ' Argument': -4.0833807, ' Arg': -4.117688}
{' No': -0.0029367576, 'No': -5.8509774, ' Yes': -10.436948, '\n': -10.756597, ' ': -12.901424}
{' No': -0.002733528, 'No': -5.9405766, ' Yes': -9.618431, '\n': -10.568432, ' ': -12.755149}
{' Yes': -0.0011215664, ' No': -7.328574, 'Yes': -7.808492, ' Child': -10.529705, ' yes': -11.23037}
{' Yes': -0.021068452, ' No': -3.9097705, 'Yes': -7.472551, ' Child': -9.132247, 'No': -10.128489}
{' No': -0.0023584915, 'No': -6.0656624, '\n': -10.973797, ' Yes': -11.218658, ' ': -13.459255}
{' No': -0.0024423203, 'No': -6.029498, '\n': -10.985968, ' Yes': -11.333124, ' ': -13.746563}
{' Yes': -0.010118563, ' No': -5.0443344, 'Yes': -6.034262, ' Early': -7.5775175, ' YES': -9.328518}
{' Yes': -0.02612578, ' No': -3.9210193, 'Yes': -5.9720182, ' Early': -6.9906936, ' Ear': -7.362785}
{' No': -0.0025889582, ' Yes': -6.5154266, 'No': -6.831736, '\n': -11.020863, ' Nope': -12.628797}
{' No': -0.002272819, 'No': -6.62201, ' Yes': -7.001996, '\n': -10.886785, ' Nope': -12.55058}
{' Yes': -0.40683356, ' No': -1.1049671, ' Nope': -7.0140758, 'Yes': -7.0978847, ' Goose': -7.185729}
{' Yes': -0.40234348, ' No': -1.1094072, 'Yes': -7.043691, 'No': -8.108469, ' Nope': -8.661102}
{' No': -0.0025511323, 'No': -6.0134206, ' Yes': -9.572407, '\n': -10.6845255, ' Not': -12.405096}
{' No': -0.0036285394, 'No': -5.648091, ' Yes': -9.719966, '\n': -10.370245, ' Not': -12.549767}
{' No': -0.010941443, ' Ocean': -5.324733, ' Yes': -5.829424, 'No': -6.1133294, ' Nope': -7.397324}
{' No': -0.009195175, ' Ocean': -5.760814, ' Yes': -5.855209, 'No': -6.1330256, ' Nope': -7.2422404}
{' No': -0.0020387245, 'No': -6.2205176, '\n': -10.460698, ' Yes': -11.014464, ' ': -13.491363}
{' No': -0.0018074298, 'No': -6.3422556, '\n': -10.694562, ' Yes': -10.971154, ' ': -13.172879}
{' No': -0.49379915, ' Yes': -0.9547195, 'No': -5.8509746, 'Yes': -6.842306, ' Trash': -8.182781}
{' No': -0.52113885, ' Yes': -0.9088513, 'No': -6.2700496, 'Yes': -7.0823607, ' Nope': -8.754352}
{' No': -0.0021285568, 'No': -6.1684675, '\n': -10.579145, ' ': -13.061006, ' Yes': -13.456162}
{' No': -0.0017040131, 'No': -6.390543, '\n': -11.104643, ' Yes': -11.911956, ' ': -13.258878}
{' Yes': -0.20404944, ' No': -1.7670224, ' Gross': -4.632102, 'Yes': -6.1322203, 'No': -7.8297687}
{' Yes': -0.29060358, ' No': -1.3853816, 'Yes': -6.784294, 'No': -8.016062, '\n': -8.402751}
{' No': -0.00198318, 'No': -6.3096385, ' Yes': -8.924714, '\n': -10.7401, ' Nope': -12.335969}
{' No': -0.0027246212, 'No': -6.010477, ' Yes': -8.414528, '\n': -10.124823, ' Not': -12.896012}
{' Yes': -0.001287288, 'Yes': -6.974678, ' Phone': -9.128921, ' No': -9.172954, '\n': -9.573088}
{' Yes': -0.0024640672, ' No': -6.7835608, 'Yes': -6.9954753, ' Phone': -8.696681, '\n': -9.03288}
{' No': -0.0036011413, 'No': -5.6357703, '\n': -10.814698, ' ': -12.440354, ' Not': -13.724778}
{' No': -0.0025399579, 'No': -5.988162, '\n': -10.688506, ' ': -12.737433, ' Not': -13.919613}
{' Yes': -0.71597093, ' No': -0.7683544, ' Guard': -3.1779249, 'No': -6.1853876, 'Yes': -6.8642597}
{' No': -0.2516573, ' Yes': -1.6544168, ' Guard': -3.698612, 'No': -5.5475116, ' Guardian': -7.2971454}
{' No': -0.005475025, ' Yes': -5.8951936, 'No': -5.9428506, '\n': -9.672108, 'Yes': -11.693415}
{' No': -0.0063549755, ' Yes': -5.746864, 'No': -5.7808504, '\n': -10.1605425, 'Yes': -11.51973}
{' Yes': -0.00329772, 'Yes': -6.053409, ' No': -8.030514, ' Sweet': -8.19244, ' Swe': -9.095429}
{' Yes': -0.0045668054, ' No': -6.0734615, 'Yes': -6.2501526, ' YES': -9.510005, ' yes': -9.585512}
{' No': -0.0031547432, 'No': -5.7753425, '\n': -10.772923, ' Yes': -10.867741, ' ': -12.923591}
{' No': -0.0019678301, 'No': -6.274796, ' Yes': -9.74759, '\n': -10.808749, ' Not': -13.40232}
{' Yes': -0.39969593, ' No': -1.1179634, 'Yes': -6.830909, ' Grass': -7.0526004, 'No': -7.8296084}
{' Yes': -0.58493847, ' No': -0.81993145, 'Yes': -6.9319367, 'No': -7.396599, ' Grass': -7.4608064}
{' No': -0.0033268435, ' Yes': -6.2352524, 'No': -6.640806, '\n': -10.252344, ' Nope': -11.695277}
{' No': -0.003424804, ' Yes': -6.2251606, 'No': -6.581837, '\n': -10.180239, 'Yes': -12.319137}
{' Yes': -0.0072535863, 'Yes': -5.2828236, ' yes': -6.9914317, ' No': -7.1525364, ' YES': -8.631748}
{' Yes': -0.005750572, 'Yes': -5.738058, ' No': -6.356916, ' yes': -7.9089856, ' Beard': -9.09662}
{' No': -0.002227179, 'No': -6.1231966, '\n': -10.925906, ' Yes': -11.508037, ' Nope': -13.192205}
{' No': -0.0021473714, 'No': -6.1608133, '\n': -10.895244, ' Yes': -11.304199, ' ': -13.493367}
{' Yes': -0.5565862, ' No': -1.1082103, ' Girls': -2.4037864, 'Yes': -6.34772, 'No': -6.5200763}
{' Yes': -0.49155673, ' No': -0.95596373, ' Girls': -6.2947526, 'Yes': -7.006764, 'No': -7.0745835}
{' No': -0.0025732405, 'No': -6.227361, ' Yes': -8.033716, ' Nope': -8.443075, '\n': -10.04141}
{' No': -0.0034326408, ' Yes': -6.2777104, 'No': -6.529301, '\n': -9.769781, ' Not': -11.185481}
{' Yes': -0.027997376, ' No': -3.6460009, 'Yes': -6.713763, '\n': -9.442727, 'No': -9.7615385}
{' Yes': -0.14935517, ' No': -1.9897788, 'Yes': -6.63127, 'No': -7.949962, ' Not': -9.33386}
{' No': -0.0025970268, 'No': -5.993285, ' Yes': -9.626541, '\n': -10.549983, ' ': -12.974652}
{' No': -0.0029700585, 'No': -5.9484825, ' Yes': -8.062878, '\n': -10.342531, ' Not': -12.618259}
{' No': -0.21225676, ' Yes': -1.6629078, 'No': -7.2792373, ' Nope': -7.3001018, 'Yes': -8.42876}
{' Yes': -0.480664, ' No': -0.969979, 'Yes': -6.964432, ' Nope': -7.116993, 'No': -7.4983697}
{' No': -0.002075159, 'No': -6.1926227, '\n': -11.228204, ' Yes': -11.445962, ' Not': -13.179473}
{' No': -0.00289079, 'No': -5.8599477, '\n': -10.956759, ' Yes': -11.2197075, ' Not': -13.210008}
{' No': -0.6745981, ' Yes': -0.7260583, ' Nope': -6.162877, ' Lose': -6.2822676, ' Lo': -6.695554}
{' Yes': -0.43513203, ' No': -1.0506849, 'Yes': -6.85357, ' Nope': -7.4666758, ' Lose': -7.59999}
{' No': -0.0032587296, 'No': -5.734513, '\n': -11.260916, ' Yes': -12.339095, ' ': -13.334394}
{' No': -0.0042683575, 'No': -5.467441, '\n': -10.646726, ' Yes': -11.780181, ' ': -12.633185}
{' No': -0.43846038, ' Yes': -1.0428077, 'No': -6.7039495, 'Yes': -6.843568, ' Nope': -9.344649}
{' Yes': -0.3367277, ' No': -1.2724614, 'Yes': -5.5734005, 'No': -6.7313333, ' Nope': -8.432209}
{' No': -0.0019297894, 'No': -6.3032675, ' Yes': -9.524549, '\n': -10.884009, ' Not': -12.954479}
{' No': -0.001601322, 'No': -6.560485, ' Yes': -8.879256, '\n': -10.148149, ' Nope': -12.975817}
{' Yes': -0.051171318, ' No': -3.048953, 'Yes': -6.266419, 'No': -8.547752, ' Seven': -8.9249935}
{' Yes': -0.050913256, ' No': -3.0564613, 'Yes': -6.3893337, ' Seven': -7.6174607, 'No': -8.832983}
{' No': -0.0034827043, 'No': -6.253545, ' Yes': -6.501434, '\n': -10.106975, 'Yes': -12.588392}
{' No': -0.0030185413, 'No': -6.2316732, ' Yes': -6.9207373, '\n': -9.977527, ' Not': -12.219154}
{' Yes': -0.002204657, 'Yes': -6.4146476, ' No': -7.6621757, ' YES': -10.710871, '\n': -10.794498}
{' Yes': -0.04106321, ' No': -3.2408466, 'Yes': -6.9378695, 'No': -9.706671, '\n': -10.5482855}
{' No': -0.0034981356, 'No': -5.6706767, '\n': -10.589053, ' Yes': -11.218513, ' ': -12.493768}
{' No': -0.0027062725, 'No': -5.9243317, '\n': -10.957488, ' Yes': -11.93161, ' ': -13.048643}
{' Yes': -0.27872324, ' No': -2.108971, ' Rough': -2.1264691, 'Yes': -6.8198776, '\n': -7.5948677}
{' Yes': -0.9418129, ' No': -0.9750599, ' Rough': -1.4775661, ' Nope': -6.4118533, '\n': -7.0389647}
{' No': -0.0023526354, 'No': -6.091296, ' Yes': -10.019113, '\n': -10.36123, ' Not': -12.220064}
{' No': -0.0025587215, 'No': -6.0205975, ' Yes': -9.508766, '\n': -10.061146, ' Not': -12.228614}
{' Yes': -0.26117975, ' No': -1.8699139, ' Dance': -2.7260215, 'Yes': -5.0401044, 'No': -6.8557634}
{' No': -0.038311, ' Yes': -3.3566856, 'No': -6.194709, ' Nope': -8.058144, 'Yes': -8.90073}
{' No': -0.053635627, ' Yes': -3.0125453, 'No': -5.912419, 'Yes': -9.016784, '\n': -9.28123}
{' No': -0.018797336, ' Yes': -4.1009216, 'No': -6.2585816, '\n': -9.353678, 'Yes': -10.353141}
{' Yes': -0.05695292, ' No': -2.9199252, 'Yes': -6.7293353, 'No': -9.676259, ' Salad': -9.86155}
{' Yes': -0.20646146, ' No': -1.6853986, 'Yes': -7.0031333, 'No': -8.655783, '\n': -10.403027}
{' No': -0.0024330579, 'No': -6.0788774, ' Yes': -9.114671, '\n': -10.670178, ' Not': -12.620744}
{' No': -0.0022492833, 'No': -6.1399937, ' Yes': -9.63353, '\n': -10.765989, ' ': -13.210225}
{' Yes': -0.43635288, ' No': -1.060012, ' Looks': -5.5133657, 'Yes': -6.378962, 'No': -7.536645}
{' No': -0.261357, ' Yes': -1.4984422, ' Looks': -5.7428136, 'No': -6.6922765, ' Nope': -6.972273}
{' No': -0.003338924, 'No': -5.752156, ' Yes': -9.195825, '\n': -9.967553, ' Not': -12.378275}
{' No': -0.0021078917, 'No': -6.193008, ' Yes': -10.3459015, '\n': -10.587563, ' ': -13.277076}
{' Yes': -0.35249382, ' Store': -1.2585549, ' Sure': -4.4922376, 'Yes': -6.9127755, 'Store': -8.413101}
{' Yes': -0.34946138, ' Store': -1.3080221, ' Sure': -3.9988048, ' No': -5.7938733, 'Yes': -6.716902}
{' No': -0.0020399175, 'No': -6.7924175, ' Yes': -7.0474744, '\n': -10.6847315, ' Nope': -11.3250675}
{' No': -0.0020557458, 'No': -6.6272, ' Yes': -7.280067, ' Nope': -11.007639, '\n': -11.220172}
{' Yes': -0.0015256254, 'Yes': -6.6926227, ' No': -9.023241, ' yes': -9.79193, ' Break': -9.799841}
{' Yes': -0.0033897592, ' No': -6.299116, 'Yes': -6.629257, ' yes': -9.697575, ' Break': -9.747841}
{' No': -0.0018776549, 'No': -6.29197, '\n': -10.926543, ' Yes': -12.862986, ' ': -13.050128}
{' No': -0.0022781955, 'No': -6.1024117, '\n': -10.489356, ' Yes': -12.0482435, ' Not': -13.511838}
{' Yes': -0.068116345, ' No': -2.8251257, 'Yes': -5.2204504, ' Parts': -7.93251, 'No': -7.9486012}
{' Yes': -0.40751746, ' No': -1.1025782, 'Yes': -6.3370214, 'No': -7.3209753, ' Nope': -9.4471245}
{' No': -0.0036038335, 'No': -5.6370773, '\n': -11.028389, ' Yes': -11.484009, ' Not': -12.632581}
{' No': -0.0027582108, 'No': -5.90196, '\n': -11.418278, ' Yes': -12.182318, ' Not': -13.418767}
{' Yes': -0.023404513, ' No': -4.42469, ' Sh': -5.6221757, 'Yes': -5.823207, ' Show': -6.3691583}
{' Yes': -0.06306025, ' No': -3.060304, ' Nope': -5.284105, 'Yes': -5.744155, ' Sh': -5.991775}
{' No': -0.002077544, 'No': -6.2309546, ' Yes': -9.505163, '\n': -10.502451, ' Not': -13.023626}
{' No': -0.0021388887, 'No': -6.342913, ' Yes': -8.304247, '\n': -9.485369, ' Nope': -10.3834305}
{' Yes': -0.013438927, ' Sy': -5.2171416, ' No': -5.391622, 'Yes': -5.875784, ' Nope': -9.194295}
{' Yes': -0.018144276, ' No': -4.3281703, 'Yes': -5.8619547, ' Sy': -6.5659556, ' Nope': -8.768947}
{' No': -0.0015203708, 'No': -6.4950256, '\n': -12.161182, ' Yes': -13.631128, ' ': -14.178291}
{' No': -0.0020690663, 'No': -6.1872015, '\n': -11.726749, ' Yes': -13.728071, ' ': -14.048985}
{' Yes': -0.0032110696, ' Learn': -6.467116, 'Yes': -6.7967267, ' No': -7.937178, ' YES': -9.651268}
{' Yes': -0.013012514, ' No': -4.4747853, 'Yes': -6.6556, ' Learn': -9.64721, ' yes': -9.830025}
{' No': -0.002080472, 'No': -6.204316, '\n': -10.443818, ' Yes': -10.744256, ' ': -12.688529}
{' No': -0.0031414686, 'No': -5.789898, '\n': -9.836964, ' Yes': -11.231506, ' ': -12.2302885}
{' No': -0.052497793, ' Yes': -3.0065286, 'No': -6.495464, ' Minor': -9.35491, 'Yes': -9.871332}
{' Yes': -0.10622125, ' No': -2.3052053, 'Yes': -7.235476, 'No': -8.564879, ' yes': -9.853659}
{' No': -0.002506312, 'No': -6.0114474, '\n': -10.639915, ' Yes': -10.655446, ' ': -13.08112}
{' No': -0.0026343765, 'No': -5.9707813, ' Yes': -10.2079735, '\n': -10.269861, ' ': -12.489449}
{' Yes': -0.00087395794, 'Yes': -7.305842, ' No': -8.556841, ' yes': -12.560055, ' YES': -13.122579}
{' Yes': -0.0036454096, ' No': -6.4915752, 'Yes': -6.5452557, ' Where': -7.447489, '\n': -10.10607}
{' No': -0.0015020455, 'No': -6.511418, ' Yes': -12.032449, '\n': -12.036313, ' Nope': -13.788647}
{' No': -0.0020143553, 'No': -6.224567, '\n': -10.829636, ' Nope': -12.06042, ' Yes': -12.544033}
{' Yes': -0.12873732, ' Arrow': -2.5829456, ' No': -3.1899917, 'Yes': -5.847702, 'arrow': -7.9772153}
{' Yes': -0.030448314, ' Arrow': -3.9993737, ' No': -4.787471, 'Yes': -5.88342, 'arrow': -9.106177}
{' No': -0.0029310826, 'No': -5.8570724, ' Yes': -10.215528, '\n': -10.677749, ' ': -12.823152}
{' No': -0.002317328, 'No': -6.0962653, ' Yes': -10.182354, '\n': -10.897381, ' Not': -13.014689}
{' No': -0.56695765, ' Yes': -0.8662741, ' Chain': -5.103344, 'No': -5.569624, ' Nope': -6.7206798}
{' Yes': -0.40076607, ' No': -1.3757437, ' Chain': -2.6860938, 'No': -5.811622, 'Yes': -6.189763}
{' No': -0.0021756876, 'No': -6.144456, '\n': -11.178183, ' Yes': -11.499828, ' ': -13.453629}
{' No': -0.0025769463, 'No': -5.9818892, ' Yes': -10.546156, '\n': -11.067003, ' Not': -12.857031}
{' Yes': -0.016358262, ' No': -4.188786, 'Yes': -6.9632325, ' Coral': -9.904331, ' yes': -10.41129}
{' Yes': -0.10625082, ' No': -2.3115177, 'Yes': -6.662588, 'No': -8.590812, ' Coral': -8.897346}
{' No': -0.0028656842, 'No': -5.865424, '\n': -11.166861, ' Yes': -11.80342, ' ': -13.0453415}
{' No': -0.0033360526, 'No': -5.7226653, '\n': -10.040891, ' Yes': -11.812427, ' ': -12.062783}
{' Yes': -0.015628919, ' Heart': -4.5011444, 'Yes': -5.888489, ' No': -6.6321483, ' YES': -9.455253}
{' Yes': -0.017937506, ' Heart': -4.3831353, ' No': -5.9329324, 'Yes': -6.0706277, '\n': -9.052742}
{' No': -0.002727669, 'No': -5.939413, ' Yes': -9.770905, '\n': -10.497103, ' ': -12.773749}
{' No': -0.0029154196, 'No': -5.864474, ' Yes': -10.24569, '\n': -10.430678, ' ': -12.561431}
{' Yes': -0.008834848, ' Horse': -4.994816, 'Yes': -6.80549, ' Sure': -7.2348742, ' No': -9.409448}
{' Yes': -0.008712185, ' Horse': -5.1234336, 'Yes': -6.239733, ' Sure': -8.01805, ' No': -8.23179}
{' No': -0.002425529, 'No': -6.1379046, ' Yes': -8.483045, '\n': -9.934054, ' Not': -12.877426}
{' No': -0.004426102, 'No': -5.496049, ' Yes': -8.382152, '\n': -9.541146, ' Nope': -12.499911}
{' Yes': -0.11681309, ' No': -2.2154038, 'Yes': -7.100959, 'No': -8.669959, ' Nope': -9.671284}
{' Yes': -0.3682166, ' No': -1.1837054, 'Yes': -7.3515115, 'No': -7.5663605, ' Nope': -7.814996}
{' No': -0.0015936793, 'No': -6.52785, ' Yes': -9.154113, '\n': -11.696358, ' Nope': -11.7861595}
{' No': -0.0016161883, 'No': -6.5421743, ' Yes': -8.958175, ' Nope': -10.6584425, '\n': -11.8628}
{' Yes': -0.04680197, ' No': -3.1322644, 'Yes': -6.85069, ' Pizza': -7.549503, ' Nope': -8.500577}
{' No': -0.32316303, ' Yes': -1.2954264, 'No': -6.8526597, ' Nope': -7.1002016, 'Yes': -7.983281}
{' No': -0.0008838635, 'No': -7.128201, ' Yes': -10.216012, ' Nope': -10.241397, '\n': -12.639128}
{' No': -0.0011227585, 'No': -6.8707204, ' Yes': -10.004651, ' Nope': -10.617116, '\n': -11.924804}
{' Yes': -0.008991749, ' Snake': -5.425835, 'Yes': -5.628639, ' No': -8.118436, ' Sn': -8.223936}
{' Yes': -0.0427156, ' Snake': -3.4394689, ' Sn': -5.53216, 'Yes': -5.558455, ' No': -7.530185}
{' No': -0.0024727327, 'No': -6.029413, ' Yes': -10.475208, '\n': -10.78121, ' Nope': -11.962615}
{' No': -0.0013963328, 'No': -6.866827, ' Yes': -8.678133, ' Nope': -8.705898, '\n': -11.875904}
{' Yes': -0.06890837, ' No': -2.880981, ' Nope': -5.1374755, 'Yes': -6.412137, ' Laugh': -6.761674}
{' Yes': -0.39597028, ' No': -1.2656144, ' Laugh': -3.5728292, ' Nope': -4.451789, 'Yes': -6.685003}
{' No': -0.012594431, ' Yes': -4.6033363, ' Nope': -6.3698444, 'No': -7.2182846, '\n': -10.660366}
