{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.093081795, 'No': -2.5322907, '\n': -5.3851385, ' ': -5.994561, ' Tigers': -6.8038726}
{' No': -0.07381288, 'No': -2.7374673, ' Yes': -6.0415077, '\n': -6.4462533, ' ': -6.6785607}
{' No': -0.4723385, ' Yes': -1.6879128, '\n': -2.4137733, 'No': -2.800782, ' ': -4.2162747}
{' No': -0.19615594, 'No': -2.8287528, ' Yes': -2.9950619, '\n': -3.006756, ' ': -4.6463947}
{' No': -0.44164476, '\n': -1.6164799, 'No': -2.516508, ' Tigers': -3.5988557, ' Yes': -3.7814124}
{' No': -0.2220945, '\n': -2.227004, 'No': -2.6718032, ' ': -4.5860243, ' Yes': -5.0859747}
{' No': -0.5291747, ' Yes': -0.92863256, 'No': -4.8973765, 'Yes': -5.946075, ' ': -6.030074}
{' No': -0.06342345, ' Yes': -3.0119362, 'No': -4.7874928, ' A': -6.1911716, ' ': -6.8441844}
{' No': -0.034519736, 'No': -3.8220465, ' Yes': -5.138245, ' Tigers': -6.1901474, ' ': -6.2831}
{' No': -0.060068175, ' Yes': -3.4759731, 'No': -3.824457, ' Tigers': -5.7171535, '\n': -7.148559}
{' No': -0.38005888, 'No': -1.566794, '\n': -2.7719007, ' Yes': -3.9272523, ' ': -4.2717595}
{' No': -0.3224858, 'No': -1.5469426, '\n': -3.3797655, ' Yes': -4.4707885, ' ': -4.781558}
{' No': -0.2963102, 'No': -1.9004321, '\n': -2.5737855, ' ': -4.138453, ' N': -5.762866}
{' No': -0.21039069, 'No': -1.9346625, '\n': -3.4357932, ' ': -4.8559494, ' no': -6.2439594}
{' Yes': -0.1969119, ' yes': -2.3652678, ' No': -2.8756838, 'Yes': -4.2723756, ' ': -5.453322}
{' Yes': -0.34555984, ' No': -1.5381619, ' yes': -3.061962, 'Yes': -4.70998, 'No': -5.332545}
{' No': -0.10361033, 'No': -3.279807, ' Yes': -3.4163926, ' ': -4.9778852, ' no': -5.016927}
{' No': -0.062282287, 'No': -3.6475196, ' Yes': -3.8967338, '\n': -5.7651825, ' ': -5.84548}
{' Yes': -0.0352068, ' No': -3.7044575, 'Yes': -5.5122404, '\n': -5.8258696, ' ': -6.4394403}
{' Yes': -0.6187208, ' No': -0.81618667, ' A': -4.946504, '\n': -5.4356284, ' ': -5.8585544}
{' No': -0.11995131, ' Yes': -2.7616556, '\n': -3.5285928, 'No': -4.724998, ' ': -4.836324}
{' No': -0.022448434, '\n': -4.7828603, 'No': -5.030587, ' Yes': -5.622355, ' ': -6.3533897}
{' No': -0.2790891, ' Yes': -2.2574482, '\n': -2.6661265, 'No': -3.1194096, ' ': -4.1742306}
{' No': -0.1019076, 'No': -3.164825, '\n': -3.5661943, ' Yes': -4.5000052, ' A': -4.8423}
{' No': -0.40898168, '\n': -1.3729252, 'No': -3.248566, ' ': -3.6354792, ' Tigers': -4.7720356}
{' No': -0.1877974, '\n': -2.283533, 'No': -3.1295753, ' ': -4.5592265, ' Tigers': -4.8482795}
{' No': -0.40855393, ' Yes': -1.4370058, '\n': -3.4017103, 'No': -3.6643157, ' A': -4.00419}
{' No': -0.096378535, 'No': -3.3968375, '\n': -3.4805603, ' Yes': -4.487705, ' ': -4.8405876}
{' No': -0.15029454, '\n': -2.7628243, 'No': -3.562913, ' Tigers': -3.90491, ' ': -4.027272}
{' No': -0.14174902, '\n': -2.659638, 'No': -3.671864, ' Tigers': -4.291163, ' ': -4.3485584}
{' No': -0.3929832, ' Yes': -1.2519844, '\n': -4.2645497, ' ': -4.4898744, 'No': -4.7581162}
{' No': -0.03608841, ' Yes': -4.6109157, '\n': -4.9749727, 'No': -5.012296, ' ': -5.1008773}
{' No': -0.40812165, '\n': -1.9589542, ' Yes': -2.0562348, ' ': -3.4234812, 'No': -4.0602384}
{' No': -0.10427054, '\n': -3.0506456, 'No': -4.10724, ' Yes': -4.214862, ' ': -4.599708}
{' No': -0.17715882, ' Yes': -2.3805947, 'No': -3.2767339, '\n': -4.3621087, ' A': -4.723822}
{' No': -0.073436014, 'No': -3.1965132, ' A': -4.573537, '\n': -4.7166185, ' Yes': -5.2843084}
{' No': -0.085221276, 'No': -3.3240764, '\n': -3.6012847, ' ': -4.3311887, ' Tigers': -5.8314786}
{' No': -0.06553996, 'No': -3.629125, '\n': -4.1502795, ' ': -4.802448, ' Tigers': -4.8250785}
{' Yes': -0.21483058, ' No': -2.146431, '\n': -3.6391027, ' ': -3.9435253, 'Yes': -4.3376756}
{' No': -0.69893706, ' Yes': -0.95370156, '\n': -3.1524699, ' A': -3.6031137, ' ': -3.8564515}
{' No': -0.5627239, ' Yes': -1.3010929, '\n': -2.6942298, ' ': -3.531447, ' Tigers': -3.62658}
{' No': -0.17935257, ' Yes': -2.7560298, '\n': -3.203093, 'No': -3.5254502, ' ': -4.2651315}
{' Yes': -0.005296384, 'Yes': -5.495641, ' A': -7.6274276, ' Generally': -8.355088, ' No': -8.439678}
{' Yes': -0.005071523, 'Yes': -5.5313187, ' A': -7.1412787, ' Generally': -8.76663, ' yes': -9.457399}
{' Yes': -0.026900219, ' Tigers': -3.963242, 'Yes': -5.2363005, ' No': -7.0125628, ' Generally': -7.3027697}
{' Yes': -0.16458584, ' Tigers': -2.0622566, ' No': -4.1213994, 'Yes': -5.2594137, ' Generally': -6.8125234}
{' Yes': -0.029627357, 'Yes': -3.9224591, ' No': -5.875033, ' Generally': -6.05362, ' A': -6.2904587}
{' Yes': -0.0431489, 'Yes': -3.9245117, ' No': -4.2761087, ' A': -5.574513, ' Generally': -6.295189}
{' Yes': -0.0800633, 'Yes': -3.5032465, ' Tigers': -3.857611, ' No': -4.2751656, ' Generally': -5.5815005}
{' Yes': -0.36217046, ' No': -1.8060619, ' Tigers': -2.4152253, 'Yes': -4.3531904, ' Generally': -4.385848}
{' Yes': -0.031586457, 'Yes': -3.7888188, '\n': -5.886346, ' ': -6.086968, ' No': -6.597382}
{' Yes': -0.029004252, 'Yes': -4.051267, ' No': -5.5249205, '\n': -5.8078237, ' A': -6.281266}
{' Yes': -0.17000297, ' Tigers': -2.9083376, 'Yes': -3.4363813, ' No': -3.5029917, '\n': -3.9960165}
{' Yes': -0.23113781, ' No': -2.2367015, ' Tigers': -3.0819087, 'Yes': -3.9745228, '\n': -4.057649}
{' Yes': -0.014743084, 'Yes': -4.6862173, ' A': -5.9706087, ' No': -6.3293066, ' Generally': -7.515723}
{' Yes': -0.01546928, 'Yes': -4.5434427, ' A': -5.547501, ' No': -7.8404083, ' yes': -8.862822}
{' Yes': -0.1517788, ' Tigers': -2.338636, 'Yes': -3.893106, ' No': -4.284326, ' Generally': -5.476701}
{' Yes': -0.5707467, ' Tigers': -1.1688303, ' No': -2.3441365, 'Yes': -4.55828, 'No': -5.251134}
{' Yes': -0.07258954, 'Yes': -3.0846248, '\n': -5.248448, ' No': -5.429956, ' ': -5.4375453}
{' Yes': -0.047335766, 'Yes': -3.527961, ' A': -5.2024255, ' No': -5.5011168, '\n': -5.9453135}
{' Yes': -0.2207138, 'Yes': -2.7192376, ' Tigers': -2.9292214, '\n': -3.5719292, ' No': -4.243665}
{' Yes': -0.12133499, ' Tigers': -3.2899616, 'Yes': -3.3593798, ' No': -4.041787, '\n': -4.802663}
{' Yes': -0.03083126, 'Yes': -3.7530353, ' Generally': -6.2502294, ' ': -6.668739, ' A': -6.6914315}
{' Yes': -0.027674397, 'Yes': -3.9239259, ' A': -5.878438, ' Generally': -6.762861, ' No': -7.056335}
{' Yes': -0.07569417, 'Yes': -3.187066, ' Tigers': -4.0690145, ' ': -5.5210533, '\n': -6.2249274}
{' Yes': -0.06408027, ' Tigers': -3.715573, 'Yes': -3.8172293, ' No': -5.1652155, ' Generally': -6.0740833}
{' Yes': -0.0063163447, 'Yes': -5.206483, ' yes': -8.169551, ' ': -8.450303, '\n': -9.017983}
{' Yes': -0.0065788035, 'Yes': -5.23835, ' A': -7.4154267, ' yes': -7.9818745, ' ': -8.785677}
{' Yes': -0.01105938, 'Yes': -5.189547, '\n': -5.8374925, ' Tigers': -6.801277, ' ': -7.202128}
{' Yes': -0.012027567, 'Yes': -5.4287143, ' Tigers': -5.7601295, ' No': -6.128168, '\n': -6.603135}
{' Yes': -0.06054021, 'Yes': -3.6671302, ' A': -4.339772, '\n': -4.818866, ' ': -5.145749}
{' Yes': -0.035105176, 'Yes': -3.810444, ' A': -5.3228016, '\n': -5.861662, ' ': -6.0596867}
{' Yes': -0.23861137, ' Tigers': -2.175093, 'Yes': -3.681713, ' No': -3.681749, '\n': -3.8564148}
{' Yes': -0.121246375, ' Tigers': -3.2597694, ' No': -3.4682841, 'Yes': -3.8759365, '\n': -5.1169415}
{' Yes': -0.17718036, '\n': -2.448659, 'Yes': -3.1489613, ' ': -4.1795053, ' A': -4.443639}
{' Yes': -0.117188446, '\n': -2.8843849, 'Yes': -3.2851436, ' ': -4.6526628, ' A': -5.2976065}
{'\n': -0.9528549, ' Yes': -1.0118911, ' Tigers': -2.0671718, ' ': -2.9644856, ' No': -3.329951}
{' Yes': -0.3949419, '\n': -1.6017518, ' Tigers': -2.9696543, ' ': -3.7299063, 'Yes': -3.7844968}
{' Yes': -0.0072092195, 'Yes': -5.4585676, ' A': -6.696719, ' ': -7.2022524, ' No': -7.3427377}
{' Yes': -0.0062991907, 'Yes': -5.5273676, ' A': -6.410735, ' ': -8.21292, ' yes': -8.553958}
{' Yes': -0.13542433, ' Tigers': -2.5774026, ' No': -3.309798, 'Yes': -4.9234376, ' ': -5.7057953}
{' Yes': -0.062288437, ' Tigers': -3.4238565, ' No': -4.0097523, 'Yes': -4.940775, ' ': -7.25707}
{' Yes': -0.27862605, 'Yes': -2.0176396, '\n': -2.992472, ' ': -3.6026213, ' A': -4.2920423}
{' Yes': -0.15652637, 'Yes': -2.1925273, '\n': -4.2830596, ' ': -4.615852, ' A': -5.177423}
{' Yes': -1.0203321, ' Tigers': -1.4664819, '\n': -1.8331813, ' ': -2.8891208, 'Yes': -2.9657593}
{' Yes': -0.48114672, '\n': -2.1877146, 'Yes': -2.5227764, ' Tigers': -2.88308, ' ': -3.1678245}
{' Yes': -0.030065084, 'Yes': -3.8916008, ' ': -5.733836, ' yes': -6.1812205, '\n': -6.358365}
{' Yes': -0.023039464, 'Yes': -4.1024156, ' yes': -6.2646947, ' A': -6.4547234, ' ': -6.605374}
{' Yes': -0.11540787, ' Tigers': -3.15847, 'Yes': -3.5472178, ' ': -4.4648695, '\n': -4.8745136}
{' Yes': -0.06243594, 'Yes': -3.7409008, ' Tigers': -4.019961, ' ': -5.520365, ' T': -5.5694118}
{' Yes': -0.056625757, 'Yes': -3.1155455, ' A': -5.4794164, ' No': -6.1238627, ' yes': -6.3579545}
{' Yes': -0.04916392, 'Yes': -3.2999384, ' A': -5.054949, ' yes': -6.5494123, ' No': -6.8159165}
{' Yes': -0.22753915, ' Tigers': -2.5271647, 'Yes': -2.8718643, ' No': -3.460041, 'T': -4.8240204}
{' Yes': -0.21963674, ' No': -2.736017, ' Tigers': -2.9575613, 'Yes': -3.0959985, 'No': -4.686717}
{' Yes': -0.13337053, ' No': -2.8905325, 'Yes': -2.9032333, 'No': -4.500001, ' yes': -6.7521424}
{' Yes': -0.65117437, ' No': -0.9523123, 'No': -2.9183939, 'Yes': -3.3580034, ' ': -6.7358546}
{' Yes': -0.21498848, ' No': -2.1232412, 'Yes': -3.1197448, 'No': -3.8494468, ' Tigers': -5.685642}
{' No': -0.3634609, ' Yes': -1.6436352, 'No': -2.4298253, ' Tigers': -4.625111, 'Yes': -4.668352}
{' Yes': -0.07998678, 'Yes': -2.9108832, ' No': -4.175616, 'No': -5.9577904, ' ': -6.3340607}
{' Yes': -0.055630304, 'Yes': -3.2096124, ' No': -4.668404, 'No': -6.8472314, ' ': -6.987124}
{' Yes': -0.54953104, ' No': -1.2840378, 'No': -2.6840067, 'Yes': -2.9292917, ' Tigers': -4.6580496}
{' No': -0.4999769, ' Yes': -1.4568803, 'No': -2.1424863, 'Yes': -3.953508, ' Tigers': -4.316421}
{' Yes': -0.3449183, ' No': -1.3274223, 'Yes': -4.379943, 'No': -4.579814, ' A': -6.202343}
{' Yes': -0.053125348, ' No': -3.4275644, 'Yes': -4.1857834, ' A': -6.212198, 'No': -6.8142447}
{' No': -0.6372604, ' Yes': -0.9128723, 'No': -3.0945778, 'Yes': -4.3886967, ' Tigers': -4.682228}
{' No': -0.3027477, ' Yes': -1.6874485, 'No': -2.9546735, ' Tigers': -4.2182612, 'Yes': -5.204445}
{' No': -0.47962275, 'No': -1.103608, ' Yes': -3.6504068, 'Yes': -5.2341394, ' Tigers': -5.3580027}
{' No': -0.66494787, 'No': -1.2548585, ' Yes': -2.1141284, ' A': -3.595984, 'Yes': -3.617058}
{' Yes': -0.9098512, ' Tigers': -1.7996789, ' No': -1.8912278, 'No': -2.220272, 'Yes': -2.2679083}
{' Yes': -0.79891676, ' Tigers': -1.32845, 'Yes': -2.344037, ' No': -2.3912115, 'No': -2.8939044}
{' Yes': -0.15614133, 'Yes': -2.8030794, ' Tiger': -3.4166067, ' No': -4.0079045, ' A': -4.6243744}
{' Yes': -0.69743824, ' No': -1.1637678, 'No': -2.3896132, 'Yes': -2.899766, '\n': -4.257848}
{' Yes': -0.3023312, 'Yes': -2.495227, ' No': -2.5325444, ' Tigers': -2.8014574, 'No': -3.5569658}
{' No': -0.494397, 'No': -1.4629755, ' Yes': -2.1652725, ' Tigers': -3.995341, 'Yes': -4.125359}
{' Yes': -0.009383115, 'Yes': -5.425662, ' yes': -5.5072317, ' ': -7.489619, '\n': -9.201381}
{' Yes': -0.009700365, 'Yes': -5.2061267, ' yes': -5.8431087, ' ': -7.1858745, '\n': -8.452655}
{' Yes': -0.00889829, 'Yes': -5.578156, ' yes': -6.3611627, ' Tigers': -6.6844635, ' ': -6.9118085}
{' Yes': -0.00790556, 'Yes': -5.5079126, ' No': -6.5960593, ' yes': -6.974056, ' Tigers': -7.544322}
{' Yes': -0.05069088, 'Yes': -3.2464263, ' yes': -5.3653193, '\n': -6.151208, ' ': -6.2349896}
{' Yes': -0.06382083, 'Yes': -3.0192287, ' yes': -5.2545347, '\n': -5.3237715, ' ': -6.4069123}
{' Yes': -0.10689035, 'Yes': -3.26862, ' Tigers': -3.8133857, '\n': -4.1157174, ' No': -4.6168466}
{' Yes': -0.048146408, 'Yes': -3.3785105, '\n': -5.579123, ' Tigers': -6.027489, ' yes': -6.2590933}
{' Yes': -0.15309352, 'Yes': -2.6744804, '\n': -2.9036312, ' ': -5.060404, ' yes': -5.1174183}
{' Yes': -0.13849735, 'Yes': -2.6361895, '\n': -3.0961144, ' ': -5.3074903, ' yes': -5.557103}
{' Yes': -0.6109139, '\n': -1.5038983, ' Tigers': -1.951965, 'Yes': -3.3615944, ' ': -3.7570531}
{' Yes': -0.41579854, '\n': -1.6005539, 'Yes': -3.2044911, ' Tigers': -3.2216878, ' ': -4.016339}
{' Yes': -0.013842191, 'Yes': -4.5263143, ' yes': -6.653338, ' ': -7.4198766, ' No': -7.9879613}
{' Yes': -0.010609584, 'Yes': -4.7079325, ' yes': -7.0044217, ' ': -8.379518, '\n': -8.563577}
{' Yes': -0.12086035, ' No': -2.9147215, ' Tigers': -3.3962548, 'Yes': -4.3032866, '\n': -5.507285}
{' Yes': -0.028550427, 'Yes': -4.450013, ' Tigers': -4.848172, ' No': -5.1267176, '\n': -7.2644453}
{' Yes': -0.2992513, 'Yes': -1.8298812, '\n': -2.7656324, ' ': -4.361406, ' yes': -4.470628}
{' Yes': -0.26798382, 'Yes': -1.6858513, '\n': -3.4022458, ' ': -5.1116276, ' yes': -5.169194}
{' Yes': -0.69091004, '\n': -1.7024477, ' No': -2.4496782, 'Yes': -2.8873677, ' Tigers': -2.9021804}
{' Yes': -0.66391474, '\n': -1.7836181, ' No': -1.8384544, 'Yes': -2.669343, 'No': -3.4306526}
{' Yes': -0.070313305, ' yes': -3.4034028, 'Yes': -3.6041934, '\n': -5.8296857, ' ': -6.3903756}
{' Yes': -0.04963448, 'Yes': -3.8378365, ' yes': -3.8493874, '\n': -5.851044, ' ': -6.6727104}
{' Yes': -0.09484077, 'Yes': -3.376062, ' yes': -3.741735, '\n': -4.3984313, ' Tigers': -4.9012284}
{' Yes': -0.043097373, 'Yes': -3.8145854, ' yes': -4.5952177, '\n': -5.6169395, ' ': -6.306666}
{' Yes': -0.0085849045, 'Yes': -5.3282905, '\n': -6.30804, ' ': -7.1576896, ' yes': -7.4568286}
{' Yes': -0.011426296, 'Yes': -5.3066626, ' A': -5.943806, '\n': -6.1532564, ' ': -7.159066}
{' Yes': -0.042069547, '\n': -3.9049346, ' Tigers': -4.780238, 'Yes': -5.364087, ' ': -5.3811617}
{' Yes': -0.05239609, '\n': -3.9723427, ' Tigers': -4.151126, ' No': -4.7879133, 'Yes': -5.4571867}
{' Yes': -0.09995724, '\n': -3.0463243, 'Yes': -3.5765593, ' ': -4.58935, ' A': -5.361537}
{' Yes': -0.082102746, '\n': -3.564698, 'Yes': -3.6126394, ' A': -4.6928453, ' No': -5.0051756}
{' Yes': -0.9497509, '\n': -0.9577638, ' No': -2.1968327, ' Tigers': -2.9094045, ' ': -3.274193}
{' Yes': -0.34128368, '\n': -1.6416492, ' Tigers': -3.5457819, ' No': -3.6454315, 'Yes': -3.9593732}
{' Yes': -0.064627305, 'Yes': -3.742846, '\n': -3.9693017, ' A': -4.7004056, ' ': -5.061362}
{' Yes': -0.07930899, '\n': -3.4271846, 'Yes': -3.6519368, ' A': -4.8726974, ' ': -4.8775187}
{' Yes': -0.4044071, '\n': -1.983829, ' Tigers': -2.1812835, ' ': -3.4981208, ' No': -3.6468043}
{' Yes': -0.5036458, '\n': -1.5996846, ' Tigers': -2.324805, ' No': -3.2083976, ' ': -3.5196943}
{' Yes': -0.041069303, '\n': -4.398571, ' A': -4.6725883, ' ': -4.8300266, 'Yes': -5.062834}
{' Yes': -0.024493193, '\n': -4.9628453, ' A': -4.9717607, 'Yes': -5.2584486, ' ': -5.4844346}
{' Yes': -1.0143877, '\n': -1.162911, ' Tigers': -1.732003, ' ': -2.6495767, ' No': -2.730597}
{' Yes': -0.2691055, '\n': -2.2783542, ' Tigers': -2.4520507, ' ': -3.9176133, ' No': -4.044206}
{' Yes': -0.05498985, 'Yes': -3.6879375, '\n': -4.6224604, ' A': -5.0238295, ' No': -5.2169805}
{' Yes': -0.042455364, 'Yes': -3.6095192, '\n': -5.204923, ' ': -5.738828, ' A': -5.743503}
{' Yes': -0.61896384, ' No': -1.8123156, ' Tigers': -1.9407831, '\n': -2.5286088, ' ': -3.2929673}
{' Yes': -0.49098957, ' No': -1.5260772, ' Tigers': -2.7953813, '\n': -2.8752325, ' ': -3.7131138}
{' Yes': -0.045718875, 'Yes': -4.0189166, '\n': -4.5758796, ' ': -4.7959666, ' yes': -5.47444}
{' Yes': -0.044754744, 'Yes': -4.127295, '\n': -4.3708596, ' ': -4.9065843, ' A': -5.6391764}
{' Yes': -0.17033513, '\n': -2.8922017, ' Tigers': -3.2883253, ' ': -3.5980844, 'Yes': -3.865182}
{' Yes': -0.15869512, ' Tigers': -3.0527437, '\n': -3.0896966, 'Yes': -4.0354, ' ': -4.171697}
{' Yes': -0.00962646, ' No': -5.6156077, 'Yes': -5.885568, ' A': -6.331901, ' Generally': -7.186603}
{' Yes': -0.0070702475, 'Yes': -5.737569, ' No': -6.1992197, ' A': -7.120122, ' Generally': -7.5026426}
{' Yes': -0.0526556, ' Ko': -3.6667588, ' No': -4.326907, 'Yes': -5.4351554, ' Generally': -5.4596434}
{' Yes': -0.22200371, ' No': -2.1693132, ' Ko': -3.0199738, ' K': -4.517935, ' Generally': -4.9400115}
{' Yes': -0.044765774, ' No': -4.006769, 'Yes': -4.3269367, ' Generally': -5.145296, ' A': -6.1993256}
{' Yes': -0.052189644, ' No': -3.6478298, 'Yes': -4.248738, ' Generally': -5.2669625, ' A': -6.3546515}
{' Yes': -0.048767433, 'Yes': -4.144545, ' No': -4.5680294, ' Ko': -4.7037125, ' Generally': -5.32926}
{' Yes': -0.27278885, ' No': -1.8296888, ' Ko': -3.8667982, 'Yes': -4.22166, 'No': -4.4557014}
{' Yes': -0.059559025, ' No': -3.473896, 'Yes': -4.2061043, '\n': -5.2161374, ' ': -6.156538}
{' Yes': -0.07867253, ' No': -2.9864368, 'Yes': -4.411606, '\n': -5.120731, ' ': -6.045097}
{' Yes': -0.104062766, 'Yes': -3.6171434, ' No': -3.7586172, '\n': -3.9519875, ' K': -4.7971587}
{' Yes': -0.20242521, ' No': -2.2919006, ' Ko': -3.808735, 'Yes': -3.9383602, '\n': -3.9965017}
{' Yes': -0.023757, ' No': -4.3715425, 'Yes': -5.4164014, ' A': -5.9669247, ' Generally': -6.070234}
{' Yes': -0.026076898, ' No': -4.475078, 'Yes': -4.9169307, ' A': -5.7510004, ' Generally': -5.933471}
{' Yes': -0.11154737, ' Ko': -2.6674478, ' No': -4.0833836, 'Yes': -4.7208533, ' K': -5.381199}
{' Yes': -0.54103154, ' No': -1.552571, ' Ko': -1.8842435, ' K': -3.8918521, 'No': -4.577454}
{' Yes': -0.5947487, ' No': -1.0175297, 'No': -3.5418139, 'Yes': -4.2781706, '\n': -4.4578714}
{' No': -0.41643128, ' Yes': -1.3994597, 'No': -3.012081, '\n': -4.354919, ' ': -4.916868}
{' Yes': -0.44486338, ' No': -1.8391944, ' Ko': -2.823302, ' K': -2.8374338, 'Yes': -3.730689}
{' No': -0.7502865, ' Yes': -1.3279804, ' Ko': -2.06638, ' K': -3.246586, 'No': -3.2990668}
{' Yes': -0.041502815, 'Yes': -4.0980844, ' No': -4.603949, ' Generally': -5.3920784, ' A': -5.748415}
{' Yes': -0.04504688, 'Yes': -4.0933943, ' No': -4.3218336, ' A': -5.191342, ' Generally': -5.787846}
{' Yes': -0.119466834, ' Ko': -3.4048824, 'Yes': -3.714701, ' K': -3.861454, ' No': -3.9422054}
{' Yes': -0.1618674, ' No': -2.9256973, ' K': -3.4068036, ' Ko': -3.8642101, 'Yes': -3.963617}
{' Yes': -0.0058232914, 'Yes': -5.7432246, ' yes': -6.878887, '\n': -7.6315174, ' ': -7.662727}
{' Yes': -0.0048440173, 'Yes': -5.864733, ' yes': -7.4340963, ' ': -7.6413875, '\n': -8.102141}
{' Yes': -0.013485143, ' No': -5.3353806, 'Yes': -5.626615, '\n': -6.148369, ' K': -6.955668}
{' Yes': -0.031203713, ' No': -3.7724679, 'Yes': -5.63961, '\n': -6.2996435, ' K': -7.290324}
{' Yes': -0.43345514, ' No': -1.4613919, ' A': -3.3795664, '\n': -3.4318376, 'No': -4.2588296}
{' No': -0.24115981, ' Yes': -1.9220203, 'No': -3.3616145, ' A': -4.3071003, '\n': -4.7399387}
{' Yes': -0.044174034, 'Yes': -4.0711913, ' Ko': -4.593864, ' K': -5.4339175, ' No': -5.7071204}
{' Yes': -0.12663741, ' No': -2.734309, 'Yes': -4.056596, ' Ko': -4.239487, ' K': -5.0439425}
{' No': -0.9544643, ' Yes': -1.0503104, '\n': -1.8633597, ' A': -3.2364316, 'No': -3.5761416}
{' No': -0.576849, ' Yes': -1.6430397, '\n': -2.0018616, 'No': -3.1136873, ' A': -3.2875993}
{' Yes': -1.2856556, '\n': -1.3106382, ' Ko': -1.9448583, ' No': -2.0690553, ' K': -2.2273135}
{' No': -0.703886, '\n': -1.3931485, ' Yes': -2.265995, ' Ko': -2.7844903, 'No': -3.4207}
{' Yes': -0.024329627, ' No': -4.10041, ' A': -5.811448, 'Yes': -5.8933744, ' ': -7.2514434}
{' Yes': -0.03718916, ' No': -3.5565677, 'Yes': -5.7309504, ' A': -5.7378225, ' ': -7.161645}
{' Yes': -0.016627727, ' Ko': -5.230706, 'Yes': -5.3987765, ' No': -5.747516, ' K': -6.3640985}
{' Yes': -0.08641433, ' No': -2.6414547, 'Yes': -5.1627173, ' K': -6.0979, ' Ko': -6.730259}
{' No': -0.5891969, ' Yes': -1.6735303, 'No': -2.232046, '\n': -2.8661532, ' A': -3.091318}
{' No': -0.3075324, 'No': -2.190627, ' Yes': -2.7943087, '\n': -3.2094147, ' A': -3.623948}
{' No': -1.244492, ' K': -1.6844832, ' Yes': -1.7045599, ' Ko': -2.1736073, '\n': -2.3340402}
{' No': -0.4970102, ' Yes': -2.0881376, 'No': -2.2456124, '\n': -2.68328, ' Ko': -3.5134175}
{' Yes': -0.042392552, 'Yes': -4.403126, ' No': -4.6169467, ' A': -5.1602664, ' yes': -5.172506}
{' Yes': -0.038425088, 'Yes': -4.395883, ' No': -4.658622, ' A': -5.1626334, ' yes': -5.7052245}
{' Yes': -0.04852601, 'Yes': -4.0855403, ' yes': -4.878121, ' K': -4.8968425, ' Ko': -5.3305626}
{' Yes': -0.04178083, 'Yes': -4.1214523, ' No': -4.740523, ' yes': -5.5208454, ' K': -5.639067}
{' Yes': -0.15128545, ' No': -2.5995584, ' A': -3.5854037, 'Yes': -4.1632085, ' Generally': -5.097456}
{' Yes': -0.12216911, ' No': -2.88619, ' A': -3.5974002, 'Yes': -3.9048645, 'No': -5.6092114}
{' Yes': -0.61468965, ' Ko': -1.787545, ' No': -1.9509666, ' K': -2.6919305, 'Yes': -3.8437655}
{' No': -0.6084175, ' Yes': -1.8033772, ' Ko': -2.1094532, 'No': -2.4309597, ' K': -3.3791494}
{' No': -0.7538882, ' Yes': -0.79509646, 'No': -2.8663032, 'Yes': -4.0955324, ' yes': -6.7891355}
{' No': -0.1867142, 'No': -2.1284466, ' Yes': -3.0409813, 'Yes': -5.998426, ' ': -7.548288}
{' Yes': -0.162712, ' No': -2.2535436, 'Yes': -3.5262334, 'No': -4.453451, ' Generally': -6.87489}
{' No': -0.23067446, 'No': -2.1628032, ' Yes': -2.500694, 'Yes': -5.4947543, ' Ko': -6.725215}
{' Yes': -0.24719995, ' No': -1.8201275, 'Yes': -3.428577, 'No': -3.903284, ' yes': -6.3132663}
{' No': -0.7388707, ' Yes': -0.7645055, 'No': -3.2304688, 'Yes': -4.2281, ' ': -6.7143855}
{' Yes': -0.251592, ' No': -2.0496895, 'Yes': -2.8012917, 'No': -3.5932896, ' ': -6.7680907}
{' Yes': -0.37681833, ' No': -1.4503485, 'No': -3.2843976, 'Yes': -3.2907321, ' K': -6.843132}
{' Yes': -0.25375703, ' No': -1.5521617, 'Yes': -5.1587577, 'No': -5.6478286, ' ': -7.182808}
{' No': -0.5765609, ' Yes': -0.8719215, 'No': -4.324358, 'Yes': -5.330011, ' ': -7.2530456}
{' Yes': -0.051620476, ' No': -3.351919, 'Yes': -4.487211, 'No': -6.579811, ' K': -7.3492928}
{' No': -0.57489836, ' Yes': -0.91892874, 'No': -3.6403928, 'Yes': -4.9777665, ' Generally': -6.4531984}
{' No': -0.31807524, 'No': -1.3710883, '\n': -5.256727, ' ': -5.4508305, ' Ko': -5.6291957}
{' No': -0.30179876, 'No': -1.3733168, ' ': -5.9214883, '\n': -6.2683125, ' Yes': -7.187658}
{' No': -0.8403002, ' Ko': -1.6356475, 'No': -1.8010641, ' Yes': -2.4920242, ' K': -2.9109788}
{' No': -0.47911197, 'No': -1.3859875, ' Ko': -2.5573914, ' Yes': -3.7634976, 'Ko': -4.935588}
{' No': -0.20087378, 'No': -2.0665524, ' Yes': -3.5078902, ' Ko': -4.4404845, ' A': -5.234752}
