{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' No': -0.116969526, 'No': -2.3001778, '\n': -5.2970743, ' ': -5.7562857, ' no': -7.465863}
{' No': -0.21994892, 'No': -1.8168021, '\n': -3.633317, ' ': -5.352667, ' no': -6.321656}
{' No': -0.21290502, 'No': -1.768674, '\n': -4.1438, ' ': -5.7533083, ' no': -6.8488507}
{' No': -0.34282392, 'No': -1.7107743, '\n': -2.3504057, ' ': -4.5335565, ' no': -6.3721547}
{' No': -0.30787668, 'No': -1.8271886, '\n': -2.428913, ' ': -4.489931, ' It': -6.6584735}
{' No': -0.019770555, 'No': -4.0147405, ' ': -7.0294614, ' no': -8.004334, '\n': -8.480157}
{' No': -0.027646577, 'No': -3.6611931, ' ': -7.004009, ' no': -8.060902, '\n': -8.438209}
{' No': -0.036878653, 'No': -3.379604, ' ': -7.086546, ' no': -7.2771378, '\n': -7.7297845}
{' No': -0.040620573, 'No': -3.2578673, ' ': -7.6083484, ' no': -8.066338, '\n': -8.207627}
{' No': -0.3705475, 'No': -1.292186, '\n': -3.881649, ' ': -5.126564, ' no': -5.3456907}
{' No': -0.36596778, 'No': -1.2972156, '\n': -3.7179306, ' ': -5.307461, ' no': -6.085002}
{' No': -0.3965992, 'No': -1.2894213, '\n': -3.6595578, ' ': -4.632056, ' no': -4.7581043}
{' No': -0.32729468, 'No': -1.3952574, '\n': -3.951805, ' ': -5.211279, ' no': -5.5512295}
{' No': -0.09927874, 'No': -2.9387622, ' no': -3.4788182, ' ': -5.441563, '\n': -5.78403}
{' No': -0.1069391, 'No': -2.8450258, ' no': -3.4444802, ' ': -5.4793887, '\n': -5.7335677}
{' No': -0.20906253, 'No': -2.240202, ' no': -2.8595753, '\n': -4.6881638, ' ': -5.0100102}
{' No': -0.16761479, 'No': -2.4595096, ' no': -3.200486, ' ': -4.974787, '\n': -4.9879637}
{' No': -0.014573907, 'No': -4.560135, '\n': -6.1458488, ' ': -6.561041, ' A': -8.726214}
{' No': -0.013449197, 'No': -4.692642, '\n': -5.9535174, ' ': -6.7054176, ' A': -8.861015}
{' No': -0.0325037, 'No': -4.036309, '\n': -4.5524297, ' ': -5.797446, ' Generally': -8.290392}
{' No': -0.021414943, 'No': -4.4581804, '\n': -5.2467947, ' ': -6.2162156, ' It': -7.1670322}
{' No': -0.10011837, 'No': -2.6469855, '\n': -3.9785745, ' ': -5.3506427, ' A': -7.864404}
{' No': -0.08182126, 'No': -2.7752585, '\n': -4.4361687, ' ': -5.6732864, ' A': -7.8149896}
{' No': -0.1570891, 'No': -2.6111908, '\n': -2.7960584, ' ': -4.699625, ' Generally': -7.008208}
{' No': -0.12624463, 'No': -2.8979404, '\n': -2.9611232, ' ': -4.9234686, ' Generally': -6.4033875}
{' No': -0.09973048, 'No': -2.6686068, '\n': -3.9330316, ' ': -5.4835, ' A': -6.85247}
{' No': -0.07395194, 'No': -2.9036257, '\n': -4.5382233, ' ': -5.5957394, ' A': -6.672213}
{' No': -0.12611413, 'No': -2.8182433, '\n': -3.0341318, ' ': -4.647484, ' NO': -7.9818783}
{' No': -0.077582, 'No': -3.0822873, '\n': -3.9058003, ' ': -5.133675, ' Frog': -7.0612016}
{' No': -0.02414631, 'No': -3.958476, ' ': -5.929598, '\n': -6.3770585, ' A': -8.577247}
{' No': -0.024737667, 'No': -3.9951394, '\n': -5.8435774, ' ': -5.92323, ' A': -8.404006}
{' No': -0.046380516, 'No': -3.4387047, '\n': -4.821222, ' ': -5.37437, ' Generally': -8.533013}
{' No': -0.036190316, 'No': -3.725969, '\n': -4.9264793, ' ': -5.709446, ' Frog': -7.940828}
{' No': -0.06673078, 'No': -2.9317667, '\n': -5.2123966, ' ': -5.353691, ' A': -7.358643}
{' No': -0.057848357, 'No': -3.0052035, '\n': -5.6166897, ' ': -5.9789634, ' A': -8.222489}
{' No': -0.08931703, 'No': -2.889816, '\n': -4.0556808, ' ': -4.476352, ' NO': -7.783003}
{' No': -0.05853495, 'No': -3.1266174, ' ': -5.1874237, '\n': -5.2081337, ' Frog': -7.123543}
{' No': -0.07089538, 'No': -2.9912157, '\n': -4.7803936, ' ': -5.1718435, ' A': -6.4360185}
{' No': -0.039556563, 'No': -3.5998669, ' ': -5.482215, '\n': -5.686253, ' A': -6.449436}
{' No': -0.086971074, 'No': -2.8790147, '\n': -4.413572, ' ': -4.5994086, ' Frog': -6.9157906}
{' No': -0.057322994, 'No': -3.43098, ' ': -5.0854697, '\n': -5.3628125, ' Frog': -5.4068303}
{' Yes': -0.05548765, ' Generally': -3.304892, ' No': -4.609473, 'Yes': -5.8220243, ' It': -6.5489717}
{' Yes': -0.7450642, ' Generally': -1.4836773, ' No': -1.6563553, ' It': -2.749516, ' A': -4.827353}
{' Yes': -0.6149703, ' Generally': -1.3914157, ' No': -2.0583582, ' Go': -3.3614779, ' It': -4.2665854}
{' Yes': -1.1895288, ' Generally': -1.341024, ' It': -1.8120682, ' Go': -2.0576587, ' No': -2.691173}
{' Yes': -0.32876554, ' No': -1.7934625, ' Generally': -2.5302255, 'No': -4.4110694, 'Yes': -4.5075946}
{' Yes': -0.9308092, ' No': -1.2722608, ' Generally': -1.7132514, ' It': -2.7082233, ' A': -3.93169}
{' Yes': -0.33336285, ' No': -2.0984993, ' Generally': -2.3558273, ' Go': -3.4979918, 'No': -4.616814}
{' No': -0.9265617, ' Yes': -1.4534324, ' Generally': -2.132353, ' Go': -2.3087218, ' It': -2.4527056}
{' No': -0.39266697, ' Yes': -1.3732215, 'No': -3.0883532, ' Generally': -4.417638, 'Yes': -5.2509866}
{' No': -0.3971344, ' Yes': -2.2994418, 'No': -2.727365, ' It': -2.73002, ' Generally': -3.3206952}
{' Yes': -0.32512647, ' No': -1.8725564, ' Go': -3.0949247, ' Generally': -3.2732751, 'No': -4.341657}
{' Yes': -0.67244035, ' No': -1.4620502, ' Go': -2.6224449, ' It': -2.8628945, ' Generally': -3.0404537}
{' Yes': -0.18915927, ' No': -2.3484669, ' Generally': -2.7661495, 'Yes': -5.568914, ' A': -5.8057475}
{' No': -0.7149875, ' Generally': -1.6732625, ' Yes': -2.0396163, ' It': -2.3815677, ' Go': -3.7689865}
{' Yes': -1.027434, ' No': -1.2841402, ' Generally': -1.472344, ' Go': -2.2939785, 'No': -4.8292723}
{' Go': -1.2664787, ' No': -1.5522739, ' Generally': -1.6456501, ' Yes': -1.6937001, ' It': -2.5729134}
{' No': -0.18944955, 'No': -2.2291317, ' Yes': -3.5827467, ' Generally': -4.234419, '\n': -5.25727}
{' No': -0.13104457, 'No': -2.2512703, '\n': -5.3614693, ' Generally': -5.434471, ' ': -5.9579296}
{' Yes': -0.6850265, ' No': -1.259705, ' Go': -2.8403325, ' Generally': -3.0419102, 'No': -3.2681792}
{' No': -0.73576725, ' Yes': -1.7647113, ' Go': -2.6962354, 'No': -2.7673569, ' Generally': -2.7803173}
{' No': -0.42232683, ' Yes': -1.5352685, ' Generally': -2.610666, 'No': -3.3201175, ' A': -5.002582}
{' No': -0.9133496, ' Generally': -1.563439, ' Yes': -1.7295709, ' A': -3.1701682, 'No': -3.2396379}
{' Yes': -0.5561261, ' No': -1.5664773, ' Generally': -2.0226197, ' Go': -3.4788935, 'No': -3.820679}
{' Yes': -0.690544, ' No': -1.7518575, ' Generally': -2.0523107, ' Go': -2.3841932, ' GO': -3.918561}
{' Yes': -0.006889881, 'Yes': -5.8490276, ' No': -5.9862766, ' yes': -7.410034, ' ': -7.8017364}
{' No': -0.57883614, ' Yes': -0.9940278, ' Generally': -3.460277, ' A': -4.729545, 'No': -4.9595733}
{' Yes': -0.0119718285, ' No': -5.02707, 'Yes': -6.1164427, ' Generally': -6.415448, '\n': -7.703143}
{' Yes': -0.30238444, ' No': -1.9824456, ' Generally': -2.9733036, ' It': -3.882615, ' Go': -4.0046186}
{' No': -0.07434774, 'No': -2.8318586, ' Yes': -5.5788455, '\n': -5.7826834, ' ': -5.9235735}
{' No': -0.0982643, 'No': -2.8660617, ' A': -4.6838183, ' Generally': -5.075853, ' It': -5.2867136}
{' No': -0.43903583, ' Yes': -1.6369804, ' Go': -2.6886811, ' Generally': -3.2533514, 'No': -3.4210267}
{' No': -0.95026094, ' Yes': -1.0838155, ' Go': -2.041804, ' Generally': -2.814286, ' GO': -3.689908}
{' No': -0.16542007, 'No': -2.566299, '\n': -3.2881482, ' A': -4.385993, ' ': -4.445024}
{' No': -0.17869158, 'No': -2.3179526, '\n': -3.1934314, ' A': -4.4509425, ' ': -4.742847}
{' No': -0.40820456, '\n': -2.0416389, 'No': -2.7571328, ' Go': -2.99982, ' Yes': -3.067745}
{' No': -0.38083598, '\n': -2.2767367, ' Go': -2.5351863, 'No': -2.8468926, ' ': -3.5392869}
{' No': -0.2024709, ' Yes': -1.7746145, 'No': -4.6157246, ' A': -6.694578, ' ': -6.7740874}
{' No': -0.02205838, 'No': -4.0962386, ' Yes': -6.5970416, ' A': -6.882171, ' It': -7.132862}
{' No': -0.13512838, ' Yes': -2.2054293, 'No': -4.7657204, ' Go': -5.602468, ' Generally': -6.1259346}
{' No': -0.093544416, ' Go': -3.5775206, ' Yes': -3.5847573, 'No': -4.070261, ' It': -5.1016316}
{' No': -0.28692555, 'No': -1.5260669, '\n': -4.4855614, ' ': -4.550348, ' A': -5.263075}
{' No': -0.2899039, 'No': -1.4935935, '\n': -4.4820766, ' ': -4.981229, ' A': -5.074869}
{' No': -0.3010087, 'No': -1.7827783, ' Go': -3.3778558, '\n': -3.9582283, ' ': -4.2612615}
{' No': -0.35130063, 'No': -1.8015132, ' Go': -2.7828076, '\n': -3.7446702, ' ': -3.994425}
{' Yes': -0.6861415, ' No': -0.8014312, 'No': -4.21388, ' A': -4.4944844, 'Yes': -5.136123}
{' No': -0.2556963, ' Yes': -2.2918236, ' A': -3.1029844, 'No': -3.2968473, ' Generally': -3.9736128}
{' Yes': -0.14183633, ' No': -2.6188889, ' Go': -4.006508, ' Generally': -4.3788066, 'Yes': -4.5829124}
{' Yes': -0.43026415, ' No': -1.6514325, ' Go': -2.8208814, ' Generally': -3.578593, ' GO': -4.168985}
{' Yes': -0.37723362, ' No': -1.546879, 'No': -3.8199663, 'Yes': -3.9299784, ' Generally': -3.9323092}
{' No': -0.66866857, ' Yes': -1.9958435, ' It': -2.317703, 'No': -2.6540372, ' A': -2.6596906}
{' Yes': -0.15750158, ' No': -3.1380978, 'Yes': -3.5734732, ' Generally': -3.726707, ' Go': -4.1669707}
{' Yes': -1.0618383, ' No': -1.6585084, ' Go': -1.9587004, ' It': -2.1977723, ' Generally': -3.0341425}
{' No': -0.13116342, 'No': -2.4254062, ' Yes': -3.443461, 'Yes': -6.669403, ' ': -7.9630632}
{' No': -0.18793155, 'No': -2.4857335, ' Yes': -2.7140203, ' Generally': -4.811283, ' It': -5.4068074}
{' Yes': -0.27098927, ' No': -1.8670508, 'No': -3.6242416, 'Yes': -3.6285162, ' Generally': -3.74454}
{' Yes': -0.9498624, ' No': -0.96890926, 'No': -2.6480455, ' Generally': -2.8701828, ' It': -3.24274}
{' Yes': -0.64396673, ' No': -0.9495373, 'No': -2.8605134, 'Yes': -3.6909847, ' Generally': -6.24107}
{' No': -0.23637661, 'No': -1.6816796, ' Yes': -4.7684846, ' Generally': -5.571459, ' It': -5.674931}
{' Yes': -0.16783823, ' No': -2.506093, 'Yes': -3.1923132, 'No': -4.0719404, ' Generally': -4.9901915}
{' Yes': -0.6288285, ' No': -1.1261106, 'No': -2.8973088, 'Yes': -3.5912783, ' Generally': -3.822258}
{' No': -0.19458672, ' Yes': -1.8847378, 'No': -3.8606842, 'Yes': -6.222497, ' ': -7.6418824}
{' Yes': -0.24567434, ' No': -1.6878338, 'Yes': -4.402069, 'No': -4.9202995, ' Generally': -5.065085}
{' Yes': -0.057221375, ' No': -3.497859, 'Yes': -4.4050016, ' Generally': -4.7970476, ' Go': -6.346625}
{' Yes': -0.15671305, ' No': -2.8574119, ' Generally': -3.6015162, ' Go': -3.683332, 'Yes': -4.207311}
{' No': -0.6047743, 'No': -1.0882338, ' Go': -2.7482793, ' Generally': -4.0383677, ' Yes': -4.535713}
{' No': -0.44192466, 'No': -1.1437948, ' GO': -4.411014, ' Generally': -4.653129, ' A': -5.194442}
{' No': -1.1433268, ' Go': -1.5755739, ' Yes': -1.770917, 'No': -1.8986102, ' Generally': -2.6313298}
{' No': -1.2163864, 'No': -1.6337029, ' Go': -1.7388645, ' Yes': -2.1624465, ' Generally': -2.645126}
{' No': -0.085459575, 'No': -2.7683935, ' Yes': -4.379948, ' Go': -6.0248513, ' ': -6.7764297}
{' No': -0.25269768, 'No': -2.0927894, ' GO': -2.731131, ' Generally': -4.984976, ' Go': -5.2782507}
{' Yes': -0.24342346, ' No': -2.708622, ' Generally': -2.87228, ' Go': -3.2887497, 'Yes': -3.527437}
{' Yes': -0.49039975, ' No': -2.0331395, ' Go': -2.4356225, ' Generally': -2.7354386, 'Yes': -3.7392647}
{' Yes': -0.072213076, ' yes': -2.9695766, ' No': -4.45506, 'Yes': -5.703295, ' ': -6.0892034}
{' No': -0.6176883, ' Yes': -0.9171745, ' yes': -3.978406, ' ': -4.7604055, 'No': -4.881276}
{' Yes': -0.034210615, ' yes': -3.571814, 'Yes': -5.87522, ' No': -7.0254197, ' ': -7.4642534}
{' Yes': -0.059869315, ' yes': -3.1802418, 'Yes': -5.3648105, ' No': -5.7703953, ' Go': -6.2428675}
{' No': -0.3139065, ' Yes': -1.7554368, 'No': -2.8069465, ' Generally': -4.646184, ' A': -4.683249}
{' No': -0.19851448, 'No': -2.737001, ' Yes': -3.1810374, ' A': -3.5799494, ' Generally': -3.9787571}
{' Yes': -0.1958345, ' No': -2.2213109, 'Yes': -3.9941895, ' Generally': -4.118528, 'No': -4.5160136}
{' Yes': -0.6093422, ' No': -1.6104922, ' It': -2.7685926, ' Go': -2.8911817, ' Generally': -3.1364439}
{' No': -0.20302768, 'No': -2.4822273, ' Yes': -3.0065439, '\n': -3.5427833, ' A': -4.7430778}
{' No': -0.38056272, 'No': -1.8497934, '\n': -2.325076, ' A': -3.74059, ' ': -4.216816}
{' Yes': -0.9168866, ' No': -1.0706362, '\n': -2.3294384, ' Go': -2.8760958, 'No': -2.962001}
{' Yes': -0.8827362, ' Go': -1.6509954, '\n': -1.9145681, ' No': -2.2307777, ' ': -3.4720898}
{' No': -0.54180086, ' Yes': -0.93588954, 'No': -4.273818, 'Yes': -5.485019, ' ': -5.973233}
{' No': -0.121858545, ' Yes': -2.9249437, 'No': -3.3077695, ' Generally': -4.729124, ' A': -5.086696}
{' Yes': -0.06543019, ' No': -3.1175752, 'Yes': -4.9763455, ' Generally': -5.3203435, ' Go': -6.0511646}
{' Yes': -0.14523877, ' No': -2.511818, ' Generally': -4.211946, 'Yes': -4.581157, ' Go': -4.7076283}
{' No': -0.2943904, 'No': -1.4978071, '\n': -4.1350007, ' ': -5.0133977, ' no': -5.4914727}
{' No': -0.40234324, 'No': -1.2339053, '\n': -3.4813151, ' ': -5.2873864, ' no': -6.267143}
{' No': -0.34825286, 'No': -1.430698, '\n': -3.660356, ' ': -4.8172517, ' Yes': -5.083444}
{' No': -0.5229627, 'No': -1.442423, ' Yes': -2.6759017, '\n': -2.985595, ' ': -4.111473}
{' Yes': -0.2447075, ' No': -2.3310225, ' yes': -2.4910872, 'Yes': -4.3509336, ' ': -5.0794406}
{' No': -0.5179781, ' Yes': -1.4661268, ' A': -3.036156, 'No': -3.739483, ' yes': -3.9359925}
{' Yes': -0.16797888, ' yes': -2.31568, ' No': -4.076868, 'Yes': -4.1652074, '\n': -5.166928}
{' Yes': -0.27380982, ' yes': -2.3970025, ' No': -3.2883332, ' It': -4.0564613, ' Generally': -4.1090155}
{' Yes': -0.04338622, ' No': -3.4754255, '\n': -5.445232, 'Yes': -5.7130313, ' ': -6.0166273}
{' Yes': -0.24950908, ' No': -1.7890826, ' Generally': -4.079217, ' It': -4.346139, ' A': -5.0724707}
{' Yes': -0.09059159, ' No': -2.7193775, '\n': -4.9479485, ' Generally': -5.2416897, ' ': -5.899919}
{' Yes': -0.03296382, ' Generally': -4.6549654, ' No': -4.890008, ' Go': -5.294833, 'Yes': -5.7171483}
{' No': -0.10365019, 'No': -2.9136949, '\n': -3.9537172, ' Yes': -4.3488073, ' ': -4.723769}
{' No': -0.27726513, 'No': -2.9236178, ' Generally': -3.1633503, ' Yes': -3.2364266, '\n': -3.4756446}
{' No': -0.8872989, ' Yes': -0.92127633, '\n': -2.5387957, ' Go': -3.484133, 'No': -3.675686}
{' No': -0.8066928, ' Yes': -1.6071993, ' Go': -1.7027518, ' Generally': -2.8118885, '\n': -3.3225808}
{' No': -0.09467826, 'No': -2.9907947, '\n': -4.057649, ' Yes': -4.543603, ' ': -5.0202765}
{' No': -0.3616606, ' Yes': -2.4457057, ' A': -2.8127635, 'No': -2.9194777, '\n': -3.4067044}
{' No': -0.79481936, ' Yes': -1.0354218, ' Go': -2.6935391, '\n': -2.8228476, 'No': -3.951426}
{' Yes': -0.65449774, ' No': -1.5813167, ' Go': -1.7365406, ' Generally': -3.5542839, '\n': -3.9841619}
{' No': -0.041164324, ' Yes': -3.9250562, 'No': -4.46388, ' ': -5.4018035, '\n': -5.607328}
{' No': -0.34338668, ' Yes': -1.5063715, ' Generally': -4.183633, 'No': -4.321622, ' A': -4.449733}
{' No': -0.18507846, ' Yes': -2.056296, '\n': -4.1569924, 'No': -4.3513417, ' ': -4.9835896}
{' Yes': -0.11675991, ' No': -2.8378806, ' Go': -3.6369894, ' Generally': -4.9154487, '\n': -5.248344}
{' No': -0.066041715, 'No': -2.87709, '\n': -5.5822215, ' ': -5.740188, ' A': -8.497276}
{' No': -0.09862571, 'No': -2.5248764, '\n': -5.203278, ' ': -5.455378, ' A': -6.0307527}
{' No': -0.10154526, 'No': -3.2055757, '\n': -3.9489458, ' Yes': -4.248119, ' ': -4.5070777}
{' No': -0.22760725, ' Yes': -2.5415664, 'No': -2.9010673, ' Go': -3.3454642, ' ': -4.3629584}
{' No': -0.7189989, ' Yes': -0.76187617, ' ': -4.326249, '\n': -4.5591836, 'No': -4.569871}
{' No': -0.49952075, ' Yes': -1.3220935, ' A': -3.49031, ' Generally': -3.5283444, ' ': -4.215675}
{' Yes': -0.044334143, ' No': -4.066913, 'Yes': -4.7658978, ' ': -5.272781, '\n': -5.593757}
{' Yes': -0.16770352, ' No': -2.536308, ' Go': -3.5906236, ' Generally': -4.185047, 'Yes': -4.846581}
{' No': -0.06362764, ' Generally': -3.373089, 'No': -4.1502876, ' Yes': -4.7662697, ' A': -6.479513}
{' No': -0.32623687, ' Generally': -1.5766412, 'No': -3.8662968, ' Yes': -4.392956, ' Go': -4.5113754}
{' No': -0.099177904, ' Generally': -2.7199547, 'No': -4.2297378, ' Go': -4.7112875, ' Yes': -6.863385}
{' No': -0.86069447, ' Generally': -1.3756652, ' Go': -1.5986246, ' It': -2.7153773, 'No': -4.216317}
{' No': -0.059229106, 'No': -2.9557574, ' Generally': -5.57083, ' A': -7.4829693, ' ': -7.8257995}
{' No': -0.15740146, ' Generally': -2.8575149, 'No': -2.9377778, ' A': -4.6697073, ' It': -4.7539415}
{' No': -0.10693035, 'No': -2.604916, ' Generally': -4.3696084, ' Go': -4.4560285, ' ': -7.194083}
{' No': -0.14995067, 'No': -2.7118003, ' Go': -3.2663655, ' Generally': -3.9536233, ' It': -4.896092}
{' No': -0.06806293, 'No': -2.7773197, ' Generally': -7.00464, ' ': -7.1032057, '\n': -7.204037}
{' No': -0.11074985, 'No': -2.5468955, ' Generally': -4.970773, ' A': -5.4343505, '\n': -5.47364}
{' No': -0.124721296, 'No': -2.6087873, ' Go': -3.593206, ' Generally': -4.8358574, '\n': -6.0908175}
{' No': -0.27037165, ' Go': -2.1712122, 'No': -2.7358031, ' Generally': -4.2113376, ' GO': -4.2798395}
{' No': -0.033718415, 'No': -3.819031, ' Generally': -4.7664986, ' A': -6.848688, ' Go': -7.046892}
{' No': -0.09781126, ' Generally': -3.3805907, 'No': -3.4341166, ' Go': -4.3578095, ' A': -5.1533113}
{' No': -0.0698236, ' Go': -3.7133324, 'No': -3.8276603, ' Generally': -3.9484777, ' On': -7.9772534}
{' No': -0.18520483, ' Go': -2.5130093, ' Generally': -3.213775, 'No': -3.419301, ' It': -4.829953}
{' No': -0.11217951, 'No': -2.3444889, ' Generally': -5.7998543, '\n': -6.068996, ' ': -6.3037667}
{' No': -0.12847859, 'No': -2.2910588, ' Generally': -5.2429347, '\n': -5.528236, ' A': -5.786898}
{' No': -0.2092222, 'No': -2.3159707, ' Go': -2.9618657, ' Generally': -4.396719, '\n': -4.597959}
{' No': -0.20991735, 'No': -2.4165099, ' Go': -3.2602844, ' Generally': -4.224716, ' ': -4.684272}
{' No': -0.07474441, 'No': -2.9729073, ' Generally': -4.214505, ' A': -6.0026, ' ': -6.9454885}
{' No': -0.29173747, ' Generally': -2.3785315, 'No': -2.762477, ' A': -3.5910347, ' GO': -4.049071}
{' No': -0.14509688, 'No': -2.537635, ' Generally': -3.5835657, ' Go': -3.9323206, ' ': -6.285868}
{' No': -0.38036847, ' Go': -2.0965703, 'No': -2.6691048, ' Generally': -2.8462212, ' GO': -3.667818}
{' No': -0.006599623, 'No': -5.2911434, ' ': -6.97641, '\n': -8.210182, ' A': -8.542458}
{' No': -0.014606326, 'No': -4.762275, ' A': -6.3226757, ' Generally': -6.4494605, ' ': -6.7039084}
{' No': -0.007102362, 'No': -5.3721, '\n': -7.1619024, ' ': -7.33142, ' Generally': -7.4517984}
{' No': -0.01919639, 'No': -4.9818463, ' Generally': -5.4564466, ' Go': -5.7529354, ' ': -6.2284355}
{' No': -0.06749767, 'No': -2.8159719, '\n': -5.995516, ' ': -6.1754355, ' A': -7.7203054}
{' No': -0.07370181, 'No': -2.903755, ' A': -5.0867653, '\n': -5.8405337, ' Generally': -5.9165473}
{' No': -0.051926557, 'No': -3.1851985, ' Go': -5.8880334, ' ': -6.020325, ' Generally': -6.2502503}
{' No': -0.05357224, 'No': -3.3122046, ' Go': -5.0219445, ' Generally': -5.77232, ' ': -5.9110355}
{' No': -0.16221695, 'No': -2.4337833, '\n': -2.9930348, ' ': -4.751141, ' A': -6.189536}
{' No': -0.16330951, 'No': -2.3236508, '\n': -3.2062953, ' ': -5.1224327, ' A': -5.305418}
{' No': -0.22710237, '\n': -2.2505074, 'No': -2.588398, ' ': -4.171739, ' Go': -5.4017363}
{' No': -0.16764002, 'No': -2.67315, '\n': -2.7740338, ' ': -4.4789934, ' Go': -4.7588053}
{' No': -0.01203758, 'No': -4.5047708, ' ': -7.309826, ' A': -9.365593, '\n': -9.440054}
{' No': -0.015157582, 'No': -4.2554317, ' ': -7.946109, ' A': -8.028599, ' Generally': -10.244739}
{' No': -0.011082342, 'No': -4.5716996, ' ': -8.104796, ' Go': -8.645232, ' Generally': -9.242564}
{' No': -0.016809193, 'No': -4.1717863, ' Go': -7.4303846, ' ': -7.9540267, '\n': -9.759388}
{' No': -0.2173381, 'No': -1.7678331, '\n': -4.604118, ' ': -4.734384, ' A': -5.898157}
{' No': -0.27627715, 'No': -1.5282893, '\n': -4.3900213, ' ': -5.0760865, ' A': -5.464191}
{' No': -0.23046385, 'No': -1.7870167, '\n': -4.0352783, ' ': -4.4336596, ' Go': -5.422027}
{' No': -0.20945588, 'No': -1.8207667, '\n': -4.6203985, ' ': -4.729342, ' Go': -5.1221867}
{' No': -0.040805887, 'No': -3.4561403, ' ': -5.5344367, ' A': -6.2995453, ' no': -7.0709877}
{' No': -0.080612, 'No': -3.296493, ' A': -3.6264071, ' Generally': -5.334106, ' ': -5.491467}
{' No': -0.06546652, 'No': -3.1163373, ' ': -5.2345214, ' Go': -5.240544, ' Generally': -5.8023696}
{' No': -0.077416085, 'No': -3.020314, ' Go': -5.0048013, ' ': -5.245662, ' Generally': -5.464297}
{' No': -0.10539046, 'No': -2.4840543, ' A': -4.9306254, ' Generally': -5.7487, ' ': -6.496292}
{' No': -0.16122395, 'No': -2.4043136, ' A': -3.5282607, ' Generally': -4.7295775, ' It': -5.0613484}
{' No': -0.19996774, 'No': -2.3216279, ' Go': -3.2002356, ' Generally': -4.1116896, ' It': -5.3100243}
{' No': -0.2926752, 'No': -2.3891182, ' Go': -2.5045738, ' It': -3.9204826, ' Generally': -4.208231}
{' No': -0.13173015, 'No': -2.104432, ' ': -7.7899113, ' no': -7.793976, ' A': -9.083032}
{' No': -0.074991144, 'No': -2.6592216, ' GO': -7.427351, ' ': -7.764027, ' Generally': -8.180359}
{' No': -0.1558497, 'No': -2.0189192, ' Generally': -5.0488343, ' Go': -5.886791, ' Yes': -7.7233396}
{' No': -0.15786803, 'No': -2.052792, ' Go': -5.2425733, ' Generally': -5.4108815, ' It': -5.853047}
{' No': -0.17763561, 'No': -1.8284246, ' ': -7.3600297, '\n': -7.712078, ' Yes': -8.693607}
{' No': -0.21206112, 'No': -1.6802542, ' GO': -6.941667, ' ': -7.144115, ' A': -7.390262}
{' No': -0.22576806, 'No': -1.8787298, ' Go': -3.4584494, ' Generally': -4.965099, ' Yes': -5.5680995}
{' No': -0.19154236, 'No': -1.9614875, ' Go': -4.254416, ' Generally': -5.271753, ' GO': -5.329741}
{' No': -0.02374125, 'No': -3.782879, ' ': -8.187356, ' A': -9.108117, ' no': -9.213533}
{' No': -0.03758782, 'No': -3.387342, ' A': -6.966272, ' Generally': -7.1236267, ' GO': -7.831437}
